"aircraft","picture","source","author_name","author_profile","license"
"01013b","aircraft_pictures/01013b.jpg","https://www.flickr.com/photos/130961247@N06/43468171504/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01013d","aircraft_pictures/01013d.jpg","https://www.flickr.com/photos/rosedale7175/25932955188/","Rosedale7175","https://www.flickr.com/photos/rosedale7175/","CC-BY-SA-2.0"
"010140","aircraft_pictures/010140.jpg","https://www.flickr.com/photos/130961247@N06/16685249142/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010141","aircraft_pictures/010141.jpg","https://www.flickr.com/photos/130961247@N06/16430375836/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010143","aircraft_pictures/010143.jpg","https://www.flickr.com/photos/130961247@N06/30334971937/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010145","aircraft_pictures/010145.jpg","https://www.flickr.com/photos/130961247@N06/40671316973/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010153","aircraft_pictures/010153.jpg","https://www.flickr.com/photos/130961247@N06/49596941543/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010154","aircraft_pictures/010154.jpg","https://www.flickr.com/photos/130961247@N06/49597441791/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01015c","aircraft_pictures/01015c.jpg","https://www.flickr.com/photos/130961247@N06/49588980258/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01015e","aircraft_pictures/01015e.jpg","https://www.flickr.com/photos/130961247@N06/46716021465/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010161","aircraft_pictures/010161.jpg","https://www.flickr.com/photos/130961247@N06/16430376666/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010162","aircraft_pictures/010162.jpg","https://www.flickr.com/photos/130961247@N06/49587971896/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010163","aircraft_pictures/010163.jpg","https://www.flickr.com/photos/130961247@N06/15833853634/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01017b","aircraft_pictures/01017b.jpg","https://www.flickr.com/photos/130961247@N06/16268679098/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"010199","aircraft_pictures/010199.jpg","https://www.flickr.com/photos/130961247@N06/22630586454/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101a7","aircraft_pictures/0101a7.jpg","https://www.flickr.com/photos/130961247@N06/49570110161/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101a8","aircraft_pictures/0101a8.jpg","https://www.flickr.com/photos/130961247@N06/22815378005/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101b3","aircraft_pictures/0101b3.jpg","https://www.flickr.com/photos/130961247@N06/49587478663/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101b8","aircraft_pictures/0101b8.jpg","https://www.flickr.com/photos/130961247@N06/49570659836/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101ba","aircraft_pictures/0101ba.jpg","https://www.flickr.com/photos/130961247@N06/26081357088/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101bb","aircraft_pictures/0101bb.jpg","https://www.flickr.com/photos/130961247@N06/49561527167/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101bc","aircraft_pictures/0101bc.jpg","https://www.flickr.com/photos/130961247@N06/44341897862/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101bd","aircraft_pictures/0101bd.jpg","https://www.flickr.com/photos/130961247@N06/49587478788/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101c4","aircraft_pictures/0101c4.jpg","https://www.flickr.com/photos/130961247@N06/43489492394/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101d4","aircraft_pictures/0101d4.jpg","https://www.flickr.com/photos/130961247@N06/49587478598/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0101de","aircraft_pictures/0101de.jpg","https://www.flickr.com/photos/130961247@N06/49588980198/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01802e","aircraft_pictures/01802e.jpg","https://www.flickr.com/photos/130961247@N06/33760018578/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01802f","aircraft_pictures/01802f.jpg","https://www.flickr.com/photos/130961247@N06/33760018428/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"018035","aircraft_pictures/018035.jpg","https://www.flickr.com/photos/130961247@N06/33760018208/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"018069","aircraft_pictures/018069.jpg","https://www.flickr.com/photos/130961247@N06/49566616302/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01806b","aircraft_pictures/01806b.jpg","https://www.flickr.com/photos/130961247@N06/43481786470/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
