"icao_code","iata_code","name","callsign","country","active","iata_member","iosa_certified","international","fleet_age","aircraft","aircraft_models","aircraft_over_25_years","routes","connections","destinations","annual_domestic_flights","annual_international_flights","accidents_last_5_years","fatal_accidents_last_5_years"
"MEM",NULL,"Meridian","MERIDIAN CHERRY","UA","1","0","0","0","35.29","7","2","7",NULL,NULL,NULL,NULL,NULL,"0","0"
"MEN",NULL,"Mena Aerospace","RAHAL","BH","1","0","0","0","16.00","2","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MFG",NULL,"Fly Mid Africa","MID AFRICA","GM","1","0","0","0","21.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MFT",NULL,"Multiflight Jet Charter","YORKAIR","GB","1","0","0","0","22.86","7","3","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"MFY",NULL,"Medifly S.A. de C.V.","MEDIFLY MEX","MX","1","0","0","0","22.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MGE","P9*","Asia Pacific Airlines","MAGELLAN","GU","1","0","0","0","30.50","4","2","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"MGG",NULL,"El Magal Aviation","ELMAGAL","SD","1","0","0","0","40.00","2","2","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"MGL","OM","MIAT Mongolian Airlines","MONGOL AIR","MN","1","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MGM",NULL,"Transporte Aereo MGM SA de CV","AERO EMM-GEE-EMM","MX","1","0","0","0","18.00","3","3","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MGT",NULL,"Air Attack Technologies","MIGHTYVAN","FR","1","0","0","0","41.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MGX","YM","Montenegro Airlines","MONTENEGRO","ME","1","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MHD",NULL,"Yas Air","YAS AIR","IR","1","0","0","0","15.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MHO",NULL,"Mokulele Airlines","MAHALO","US","1","0","0","0","6.88","17","2","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MHV",NULL,"MHS Aviation","SNOWCAP","DE","1","0","0","1","14.91","11","7","0","12","7","7","1977","603","0","0"
"MIN",NULL,"MJets",NULL,"TH","1","0","0","0","15.17","6","5","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MJE",NULL,"Empire Aviation Group FZCO","EMJET","AE","1","0","0","0","7.89","9","5","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MJF",NULL,"MJet","EM-EXPRESS","AT","1","0","0","0","8.07","14","9","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MJN",NULL,"Royal Air Force of Oman","MAJAN","OM","1","0","0","0","12.66","125","13","25",NULL,NULL,NULL,NULL,NULL,"0","0"
"MJR",NULL,"MidAmerica Jet Inc","MAJOR","US","1","0","0","0","6.60","5","3","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MKH",NULL,"Air Marrakech Services",NULL,"MA","1","0","0","0","39.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MKR",NULL,"Lanmei Airlines","AIR LANME","CN","1","0","0","0","13.67","3","2","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MLA","Q5*","40-Mile Air","MILE-AIR","US","1","0","0","0","28.50","2","2","1","3","2","2","838","0","0","0"
"MLD","9U","Air Moldova","AIR MOLDOVA","MD","1","1","1","1","22.00","1","1","0","56","28","29","0","8568","0","0"
"MLM",NULL,"Comlux Aviation Malta","LUXMALTA","MT","1","0","0","0","8.10","10","7","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MLN",NULL,"Corporate Air LLC","MILLENNIUM","US","1","0","0","0","13.60","10","8","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MLO",NULL,"Servicios Aereos Milenio SA de CV","MILENIO","MX","1","0","0","0","21.88","8","4","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"MLT","DB","Maleth Aero","MALETH","MT","1","0","0","0","24.14","7","4","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"MMA","8M","Myanmar Airways International","MYANMAR","MM","1","1","1","1","13.00","3","2","0","40","23","17","3358","3404","0","0"
"MMC",NULL,"Aermarche SpA",NULL,"IT","1","0","0","0","18.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MMD","6I","Air Alsie A/S","MERMAID","DK","1","0","0","0","5.35","17","4","0","2","1","2","2256","0","0","0"
"MMG",NULL,"ARM Aviacion","RUTA MAYA","GT","1","0","0","0","31.50","6","3","3",NULL,NULL,NULL,NULL,NULL,"0","0"
"MML","MR","Hunnu Air","TRANS MONGOLIA","MN","1","0","0","1","11.33","3","2","0","24","13","11","1858","662","0","0"
"MMM",NULL,"Meridian Air","AVIAMERIDIAN","RU","1","0","0","0","8.00","3","3","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MMN",NULL,"Professional Airways LLC","MINUTEMAN","US","1","0","0","0","22.75","4","3","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MMZ","YU","EuroAtlantic airways","EUROATLANTIC","PT","1","1","1","1","18.00","1","1","0","23","15","18","0","227","0","0"
"MNB","MB","MNG Airlines","BLACK SEA","TR","1","1","1","1","23.83","6","2","4","35","26","17","52","3001","0","0"
"MNG","M0","Aero Mongolia","AERO MONGOLIA","MN","1","0","0","1","16.00","1","1","0","13","7","7","558","356","0","0"
"MNT","5M","Montserrat Airways","MONTSERRAT","MS","1","0","0","1","42.00","2","1","2","19","13","13","0","3371","0","0"
"MNU","7Q","Elite Airways","MAINER","US","1","0","0","0","20.33","6","2","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MOZ",NULL,"SalzburgJetAviation GmbH","MOZART","AT","1","0","0","0","12.00","7","6","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MPE",NULL,"Canadian North","EMPRESS","CA","1","0","0","1","23.92","13","3","2","58","30","20","7245","82","0","0"
"MPH","MP","Martinair","MARTINAIR","NL","1","1","1","1","20.00","4","1","1","52","46","26","0","3645","1","0"
"MQT",NULL,"Air ITM","MUSKETEER","FR","1","0","0","0","14.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
