slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
a-ndb-he-heaz,A,ALMAZA NDB,NDB,TERMINAL,490,,,,,,,,25,30.074000000,31.359444444,,HE,HEAZ,,EG
a-ndb-lh-lhsn,A,SZOLNOK NDB,NDB,TERMINAL,422,,,,,,,,15,47.105416667,20.225666667,,LH,LHSN,,HU
a-ndb-sa-saez,A,EZEIZA INTL MINISTRO PISTARINI NDB,NDB,TERMINAL,237,,,,,,,,25,-34.841638889,-58.522333333,,SA,SAEZ,,AR
a-ndb-ua-uaaa,A,ALMATY NDB,NDB,TERMINAL,763,,,,,,,,15,43.368916667,77.073333333,,UA,UAAA,,KZ
a-ndb-ua-uatt,A,AKTOBE NDB,NDB,TERMINAL,400,,,,,,,,15,50.262638889,57.179888889,,UA,UATT,,KZ
a-ndb-ul-ulaa,A,TALAGI (ARKHANGELSK) NDB,NDB,TERMINAL,334,,,,,,,,25,64.602500000,40.672222222,,UL,ULAA,,RU
a-ndb-un-unaa,A,ABAKAN NDB,NDB,TERMINAL,733,,,,,,,,25,53.723416667,91.372222222,,UN,UNAA,,RU
a-ndb-un-unbb,A,MIKHAYLOVKA (BARNAUL) NDB,NDB,TERMINAL,865,,,,,,,,25,53.371666667,83.573527778,,UN,UNBB,,RU
a-ndb-un-uooo,A,ALYKEL (NORILSK) NDB,NDB,TERMINAL,260,,,,,,,,25,69.289555556,87.293500000,,UN,UOOO,,RU
a-ndb-us-usrr,A,SURGUT NDB,NDB,TERMINAL,668,,,,,,,,15,61.343944444,73.447055556,,US,USRR,,RU
a-ndb-ut-utfa,A,ANDIZHAN NDB,NDB,TERMINAL,860,,,,,,,,15,40.711711111,72.271983333,,UT,UTFA,,UZ
a-ndb-uu-uubi,A,YUZHNY (IVANOVO) NDB,NDB,TERMINAL,670,,,,,,,,15,56.953222222,40.899638889,,UU,UUBI,,RU
a-ndb-uu-uuee,A,SHEREMETYEVO (MOSCOW) NDB,NDB,TERMINAL,338,,,,,,,,25,55.980583333,37.459000000,,UU,UUEE,,RU
a-ndb-uu-uuob,A,BELGOROD NDB,NDB,TERMINAL,350,,,,,,,,15,50.652166667,36.565166667,,UU,UUOB,,RU
