airport,length,width,le_name,le_latitude,le_longitude,le_elevation,le_heading,le_displaced_threshold,he_name,he_latitude,he_longitude,he_elevation,he_heading,he_displaced_threshold,surface,lighted,active
AGGH,7218,148,06,-9.43174,160.045,28,68,,24,-9.42426,160.064,14,248,,ASP,1,1
AGGM,4593,98,07,-8.32918,157.257,7,78.9,,25,-8.32676,157.269,9,258.9,,ASP,0,1
ANYN,7054,148,12,-0.54118,166.912,22,130.3,165,30,-0.55374,166.926,20,310.3,380,ASP,1,1
AYBK,5125,98,04,-5.42701,154.667,11,48,,22,-5.41751,154.678,9,228,,ASP,1,1
AYCH,3330,89,03,-6.02755,144.968,4974,35.6,,21,-6.02021,144.974,4974,215.6,,ASP,1,1
AYDU,4593,98,14,-9.08229,143.203,13,135,,32,-9.09122,143.212,19,315,,ASP,0,1
AYGA,3983,59,17L,-6.07496,145.392,5199,176,,35R,-6.08625,145.393,5199,356,,ASP,0,1
AYGA,5400,98,17R,-6.07532,145.391,5199,176,,35L,-6.09023,145.392,5199,356,,ASP,1,1
AYGN,5546,98,09,-10.31,150.326,65,101.3,,27,-10.313,150.341,65,281.3,,ASP,1,1
AYGR,5485,98,03,-8.81049,148.304,310,38.1,,21,-8.7986,148.314,252,218.1,,ASP,0,1
AYHK,5212,98,12,-5.4573,150.4,7,133,,30,-5.46704,150.41,66,313,,ASP,1,1
AYKM,3044,60,14,-7.96,145.769,8,146,,32,-7.96694,145.774,9,326,,ASP,0,1
AYKV,5592,98,12,-2.57498,150.802,13,124.9,,30,-2.58381,150.814,7,304.9,,ASP,1,1
AYMD,5174,105,07,-5.20893,145.782,20,75,205,25,-5.20524,145.796,7,255,,ASP,1,1
AYMH,3599,59,08,-5.82708,144.293,5363,85,197,26,-5.82615,144.303,5363,265,197,ASP,0,1
AYMH,7185,98,12,-5.82376,144.291,5363,121,,30,-5.83398,144.308,5363,301,,ASP,1,1
AYMN,4411,98,17,-6.14171,143.656,5695,172.8,,35,-6.15377,143.658,5665,352.8,,ASP,0,1
AYMO,6136,148,16,-2.05393,147.421,4,161,,34,-2.06988,147.427,8,341,197,ASP,1,1
AYNZ,8004,98,09,-6.56887,146.715,239,95,,27,-6.57078,146.737,216,275,,ASP,1,1
AYPY,9022,148,14L,-9.43087,147.214,103,148.4,,32R,-9.4521,147.227,128,328.4,,ASP,1,1
AYPY,6777,148,14R,-9.43471,147.213,104,148.5,,32L,-9.45063,147.223,146,328.5,,ASP,1,1
AYTK,5643,92,10,-4.33822,152.372,15,106.4,,28,-4.34262,152.387,50,286.4,,ASP,1,1
AYVN,5775,85,12,-2.68762,141.297,11,130,460,30,-2.69776,141.309,22,310,,ASP,1,1
AYWD,5052,75,14,-5.63807,143.891,5889,139,,32,-5.64853,143.9,5889,319,239,ASP,0,1
AYWK,5234,98,10,-3.5821,143.662,16,103.9,,28,-3.58556,143.676,19,283.9,,ASP,1,1
BGBW,6004,148,07,61.1544,-45.4369,11,41,,25,61.1667,-45.415,112,221,,CON,1,1
BGGH,3117,98,05,64.189,-51.6796,271,19,,23,64.1971,-51.6734,281,199,,ASP,1,1
BGSF,9219,197,09,67.0056,-50.7431,100,61.6,,27,67.0176,-50.6864,165,241.6,,ASP,1,1
BGTL,9997,140,08T,76.53,-68.7615,167,84.9,,26T,76.5324,-68.6448,251,264.9,,ASP,1,1
BIAR,6365,148,01,65.65,-18.0707,7,355,,19,65.6673,-18.074,5,175,,ASP,1,1
BIBD,3084,98,05,65.6374,-23.5512,11,28,,23,65.6453,-23.5411,26,208,,BIT,1,1
BIEG,6562,148,04,65.2746,-14.4112,76,25,502,22,65.2908,-14.3928,76,205,,ASP,1,1
BIHN,4921,148,18,64.3022,-15.2308,24,168,,36,64.2891,-15.2239,7,348,,BIT,1,1
BIHU,5266,157,02,65.9453,-17.4295,48,12,,20,65.9593,-17.4224,45,192,,BIT,1,1
BIIS,4593,148,08,66.0551,-23.1486,8,62,,26,66.061,-23.1216,8,242,,BIT,1,1
BIKF,10020,197,01,63.9645,-22.6055,135,,,19,63.9919,-22.6054,161,180,,ASP,1,1
BIKF,10056,197,10,63.985,-22.655,109,90,43,28,63.985,-22.5924,168,270,43,ASP,1,1
BIKR,6191,90,01,65.7233,-19.5696,8,351,,19,65.74,-19.5761,8,171,,ASP,1,1
BIRK,5141,148,01,64.122,-21.9362,23,355,263,19,64.136,-21.9389,29,175,,ASP,1,1
BIRK,3150,98,06,64.1272,-21.9468,27,46,342,24,64.1331,-21.9326,39,226,66,ASP,0,1
BIRK,4035,148,13,64.1325,-21.9554,17,117,,31,64.1276,-21.9327,38,297,213,ASP,1,1
BISS,2578,59,15,64.0617,-21.5743,,,,33,64.0584,-21.561,,,,ASP,0,1
BITN,3934,98,02,66.2131,-15.3363,51,2.7,,20,66.2238,-15.335,64,182.7,,BIT,1,1
BIVM,3806,148,03,63.4201,-20.282,291,19,,21,63.4298,-20.2748,299,199,,BIT,1,1
BIVM,3953,148,12,63.4256,-20.287,298,110,,30,63.422,-20.2645,326,290,,BIT,1,1
BKPR,8165,148,17,42.5853,21.0346,1789,176,,35,42.5629,21.0369,1786,356,,ASP,1,1
CYAG,2600,75,03,48.6528,-93.4453,1120,34.8,,21,48.6586,-93.4392,1125,214.8,,ASP,1,1
CYAG,4500,100,12,48.658,-93.4481,1123,126,,30,48.6508,-93.433,1119,306,,ASP,1,1
CYAM,6000,200,04,46.4778,-84.5153,612,33.5,,22,46.4917,-84.5019,630,213.5,,ASP,1,1
CYAM,6000,200,12,46.486,-84.5209,612,107.8,,30,46.481,-84.4982,612,287.8,,ASP,1,1
CYAU,3937,75,07,44.2271,-64.8622,317,53.9,,25,44.2335,-64.85,314,233.9,,ASP,1,1
CYAV,2850,75,04,50.0508,-97.0356,758,46,,22,50.0561,-97.0269,760,226,,ASP,1,1
CYAV,3000,75,13,50.0614,-97.0356,757,132,,31,50.0558,-97.0261,760,312,,ASP,1,1
CYAV,3000,75,18,50.0614,-97.0368,755,190,,36,50.0535,-97.0389,758,10,,ASP,1,1
CYAX,3600,75,18,50.2992,-96.0092,,185,,36,50.2892,-96.0103,,5,,ASP,1,1
CYAY,4000,100,10,51.3909,-56.0918,108,80,,28,51.3929,-56.0745,88,260,,ASP,1,1
CYAZ,4999,150,07,49.0759,-125.781,75,90,720,25,49.0759,-125.76,79,270,350,CON,0,1
CYAZ,4997,100,11,49.0825,-125.783,79,126,500,29,49.0744,-125.766,76,306,,CON,0,1
CYAZ,5000,100,16,49.0894,-125.781,80,175,200,34,49.0758,-125.779,79,355,870,CON,0,1
CYBB,5000,100,05,68.53,-89.8222,56,49,,23,68.5389,-89.7939,25,229,,GVL,1,1
CYBC,6000,150,10,49.1309,-68.2196,70,80.5,,28,49.1336,-68.1948,66,260.5,,ASP,1,1
CYBD,4200,100,05,52.3858,-126.604,,72,,23,52.3894,-126.587,,252,115,ASP,0,1
CYBE,3930,100,06,59.56,-108.492,1027,75,,24,59.5628,-108.471,1017,255,,GVL,1,1
CYBF,4433,75,07,54.3042,-110.754,,90,,25,54.3039,-110.733,,270,512,ASP,1,1
CYBG,10000,150,11,48.3328,-71.0158,519,90.6,,29,48.3325,-70.975,511,270.6,,CON,1,1
CYBG,6000,150,18,48.3375,-70.9964,520,163.4,,36,48.3219,-70.9894,522,343.4,,ASP,1,1
CYBK,4200,100,16T,64.3044,-96.0819,59,162,,34T,64.2933,-96.0736,10,342,,GVL,1,1
CYBL,5000,150,11,49.9556,-125.278,346,134.3,,29,49.9461,-125.263,297,314.3,,,1,1
CYBR,2795,100,02,49.907,-99.9529,,20.4,,20,49.914,-99.9488,,200.4,,ASP,0,1
CYBR,6500,150,08,49.9071,-99.9659,1343,90,,26,49.9075,-99.9383,1332,270,,ASP,1,1
CYBR,3000,60,14,49.9135,-99.9489,1337,150,,32,49.9065,-99.9422,1331,330,,GVL,0,1
CYBW,3423,100,08,51.1048,-114.379,3935,90,,26,51.1048,-114.364,3934,270,,ASP,1,1
CYBW,5000,98,17,51.1122,-114.379,3930,181,,35,51.0985,-114.379,3940,1,,ASP,1,1
CYBX,4500,150,05,51.4366,-57.1909,79,27.5,,23,51.4476,-57.1818,121,207.5,,ASP,1,1
CYCB,5000,150,13T,69.1122,-105.154,89,127.4,,31T,69.1039,-105.123,61,307.4,,GVL,1,1
CYCC,3500,100,10,45.0922,-74.57,171,83.3,,28,45.0933,-74.5567,168,263.3,,ASP,1,1
CYCD,6602,150,16,49.0592,-123.87,75,181,197,34,49.0455,-123.87,92,1,1002,ASP,1,1
CYCE,5012,100,10,43.2831,-81.5181,819,91,,28,43.2828,-81.4992,824,271,,ASP,1,1
CYCE,4400,150,16,43.2908,-81.5094,822,151,,34,43.2803,-81.5014,824,331,,ASP,1,1
CYCG,5300,150,15,49.3034,-117.635,1615,169,,33,49.2891,-117.63,1621,349,,ASP,1,1
CYCH,5200,150,04,47,-65.445,69,20.3,,22,47.0133,-65.4378,90,200.3,,ASP,0,1
CYCH,10006,150,09,47.0053,-65.4604,108,72,,27,47.0103,-65.4379,85,252,,ASP,1,1
CYCH,7500,150,10,47.0078,-65.4694,106,79,,28,47.0117,-65.44,85,259.1,,ASP,0,1
CYCH,5513,150,15,47.0097,-65.4531,107,134.4,,33,46.9992,-65.4372,68,314.4,,ASP,0,1
CYCK,5000,75,06,42.3014,-82.0883,650,44,,24,42.3114,-82.0756,650,224,,ASP,1,1
CYCL,6000,150,12,47.9925,-66.3433,132,105,,30,47.9883,-66.3194,114,285,,ASP,1,1
CYCN,4500,100,13,49.1086,-81.0219,840,119.2,,31,49.1025,-81.0053,861,299.2,,ASP,1,1
CYCO,5500,100,12T,67.8206,-115.161,39,121,,30T,67.8128,-115.127,69,301,,GVL,1,1
CYCP,5000,60,01,52.1108,-119.291,,31.6,,19,52.1225,-119.279,,211.6,,ASP,0,1
CYCQ,4484,100,05,55.6853,-121.637,2000,72,,23,55.6891,-121.616,2000,252,,ASP,1,1
CYCT,3000,75,11,52.0775,-111.451,,128,,29,52.0725,-111.44,,308,,ASP,1,1
CYCW,3990,75,07,49.1519,-121.947,31,81.3,,25,49.1536,-121.931,28,261.3,,ASP,1,1
CYCY,3500,100,02T,70.4814,-68.5211,87,18,,20T,70.4908,-68.5119,87,198,,GVL,1,1
CYCZ,6003,100,15,50.34,-115.876,2637,170,,33,50.3239,-115.871,2658,350,820,ASP,1,1
CYDA,5000,100,03,64.0386,-139.139,1204,49,,21,64.0475,-139.116,1215,229,,CON,1,1
CYDB,5000,100,10,61.3753,-139.052,2647,128,,28,61.3669,-139.029,2604,308,,GVL,1,1
CYDC,3932,75,04,49.464,-120.518,2298,50,,22,49.471,-120.506,2288,230,,ASP,0,1
CYDF,8005,150,07,49.2053,-57.4007,50,47.8,,25,49.2164,-57.3821,72,227.8,,ASP,1,1
CYDL,6000,90,02,58.4167,-130.044,2600,48,,20,58.4278,-130.021,2600,228,400,ASP,1,1
CYDN,2000,60,02,51.1014,-100.052,989,29,,20,51.1062,-100.048,982,209,,GVL,0,1
CYDN,2700,75,08,51.1067,-100.058,988,90,,26,51.1067,-100.047,982,270,,ASP,1,1
CYDN,5000,150,14,51.1072,-100.058,989,150,,32,51.0956,-100.047,998,330,,ASP,1,1
CYDO,4971,100,11,48.779,-72.3852,367,93.8,,29,48.7781,-72.3646,372,273.8,,ASP,1,1
CYDQ,5000,150,06,55.7411,-120.194,2146,85,,24,55.7422,-120.169,2145,265,,ASP,1,1
CYEE,3998,75,16,44.6878,-79.9325,770,149.6,,34,44.6786,-79.9239,770,329.6,,ASP,1,1
CYEG,11000,200,02,53.3089,-113.596,2322,33.9,,20,53.3342,-113.568,2337,213.9,,ASP,1,1
CYEG,10200,200,12,53.3064,-113.595,2325,135.1,,30,53.2867,-113.562,2372,315.1,,ASP,1,1
CYEK,4000,100,15T,61.0989,-94.0767,32,149,,33T,61.0895,-94.065,29,329,,GVL,1,1
CYEL,4500,100,12,46.3536,-82.5697,1086,112.2,,30,46.3489,-82.5531,1086,292.2,,ASP,1,1
CYEM,3500,100,02,45.8381,-81.8594,851,11.6,,20,45.8475,-81.8567,869,191.6,,ASP,1,1
CYEN,5000,100,08,49.2079,-102.976,1904,90,,26,49.208,-102.955,1902,270,,ASP,1,1
CYEN,3000,75,15,49.2164,-102.97,,158,,33,49.2088,-102.965,,338,,ASP,1,1
CYES,4499,75,16,47.4953,-68.4878,,140,,34,47.4858,-68.4761,,320,,ASP,1,1
CYET,6000,100,07,53.579,-116.479,3041,91,594,25,53.5788,-116.451,3020,271,484,ASP,1,1
CYEU,4836,150,10T,79.9963,-85.8499,,104,,28T,79.9931,-85.7768,,284,,GVL,1,1
CYEV,6000,150,06,68.3032,-133.505,197,85.8,,24,68.3044,-133.461,224,265.8,,ASP,1,1
CYEY,5000,100,14,48.5681,-78.2578,1068,128,,32,48.5597,-78.2417,1048,308,,ASP,1,1
CYFB,8605,200,16,63.7654,-68.5755,110,136.9,200,34,63.7478,-68.5367,71,316.9,207,ASP,1,1
CYFC,8005,200,09,45.863,-66.5523,64,70.7,,27,45.8703,-66.5225,57,250.7,,ASP,1,1
CYFC,6000,200,15,45.8744,-66.5394,53,131.1,,33,45.8636,-66.5217,57,311.1,,ASP,1,1
CYFD,5000,100,05,43.1239,-80.3467,807,43.7,,23,43.1339,-80.3336,809,223.7,,ASP,1,1
CYFD,2600,100,11,43.1308,-80.3492,808,98.6,,29,43.1297,-80.3394,813,278.6,,ASP,1,1
CYFD,2600,100,17,43.1308,-80.3492,808,164.6,,35,43.1239,-80.3467,807,344.6,,ASP,1,1
CYFE,5000,100,09,48.7438,-69.107,,70.4,,27,48.7484,-69.0875,,250.4,,ASP,1,1
CYFJ,5587,100,03,46.4019,-74.7818,814,11,,21,46.417,-74.7777,827,191,,ASP,1,1
CYFO,5000,150,18,54.6848,-101.68,997,189,,36,54.6713,-101.684,972,9,,ASP,1,1
CYFR,4000,100,12,61.185,-113.697,524,139,,30,61.1767,-113.682,525,319,655,GVL,1,1
CYFS,6000,150,14,61.7678,-121.244,544,156,,32,61.7528,-121.23,550,336,,ASP,1,1
CYGB,3000,75,14,49.6975,-124.52,,158,,32,49.69,-124.515,,338,,ASP,0,1
CYGD,1870,80,05,43.764,-81.7133,702,30,,23,43.7686,-81.7097,699,210,,GRS,0,1
CYGD,3000,50,10,43.7642,-81.7117,702,91.9,,28,43.7639,-81.7003,712,271.9,,ASP,1,1
CYGD,5000,100,14,43.7711,-81.7164,686,122,,32,43.7639,-81.7003,709,302,,ASP,1,1
CYGE,4500,75,14,51.3042,-116.985,2575,161,,32,51.2925,-116.978,2575,341,,ASP,0,1
CYGH,3000,98,06,66.2408,-128.661,251,90,,24,66.2408,-128.641,265,270,,GVL,1,1
CYGK,5000,100,01,44.2191,-76.6018,301,355.8,,19,44.2326,-76.6031,302,175.8,,ASP,1,1
CYGK,3933,100,07,44.2196,-76.6014,301,54,,25,44.2256,-76.5901,297,234,,ASP,1,1
CYGL,6500,150,13,53.6288,-77.7179,595,113,,31,53.6219,-77.6904,639,293,,ASP,1,1
CYGM,6800,150,15,50.6361,-97.0494,753,150.3,,33,50.6197,-97.0347,743,330.3,,ASP,1,1
CYGP,4500,150,11,48.7746,-64.4879,108,84,,29,48.7759,-64.4693,88,264,,ASP,1,1
CYGQ,5000,100,08,49.7764,-86.9494,1140,72.4,,26,49.7806,-86.9292,1139,252.4,,ASP,1,1
CYGR,4500,150,07,47.4206,-61.7879,22,53,,25,47.4281,-61.7735,12,233,,ASP,1,1
CYGR,3600,150,16,47.4294,-61.7858,9,138.7,,34,47.4219,-61.7761,35,318.7,,ASP,1,1
CYGV,4500,100,09,50.2792,-63.62,109,63,,27,50.2847,-63.6028,124,243,,ASP,1,1
CYHB,5000,100,05,52.8139,-102.322,1106,66,,23,52.8194,-102.301,1159,246,,ASP,1,1
CYHB,2000,75,10,52.8167,-102.312,,110,,28,52.8147,-102.303,,290,,ASP,1,1
CYHD,2000,75,05,49.8272,-92.7419,1351,56,,23,49.8303,-92.735,1351,236,,SAN,0,1
CYHD,6000,150,12,49.835,-92.7556,1354,114,,30,49.8283,-92.7319,1352,294,200,ASP,1,1
CYHF,4500,100,04,49.7089,-83.6911,825,32.9,,22,49.7192,-83.6808,819,212.9,,ASP,1,1
CYHI,4300,100,06T,70.7603,-117.822,105,62,,24T,70.7658,-117.79,110,242,,GVL,1,1
CYHK,4400,100,13T,68.6392,-95.8628,154,127,,31T,68.6319,-95.8367,128,307,,GVL,1,1
CYHM,6010,150,06,43.1667,-79.9347,771,49,,24,43.1776,-79.9178,755,229,,ASP,1,1
CYHM,10006,200,12,43.1806,-79.9531,772,107,1600,30,43.1722,-79.9175,765,287,400,ASP,1,1
CYHN,3500,75,07,49.1906,-84.7653,1099,59.1,,25,49.1956,-84.7525,1087,239.1,,ASP,1,1
CYHR,4500,150,08,50.4654,-59.6446,31,55,,26,50.4725,-59.6288,39,235,,ASP,1,1
CYHS,4000,75,01,44.1528,-81.0628,909,360,,19,44.1639,-81.0628,935,180,,ASP,1,1
CYHS,2500,50,09,44.1578,-81.0675,920,80.7,330,27,44.1589,-81.0581,915,260.7,120,ASP,0,1
CYHU,7840,150,06L,45.5108,-73.4291,86,47,1100,24R,45.5254,-73.4069,87,227,,ASP,1,1
CYHU,3920,100,06R,45.5114,-73.4147,84,47.1,,24L,45.5186,-73.4036,88,227.2,,ASP,1,1
CYHU,2800,150,10,45.5108,-73.4261,87,83.7,,28,45.5117,-73.4153,84,263.8,,ASP,1,1
CYHY,4001,150,05,60.8394,-115.789,536,66,,23,60.8439,-115.769,531,246,,COM,1,1
CYHY,6000,150,14,60.8472,-115.796,532,154.3,,32,60.8319,-115.783,542,334.3,,ASP,1,1
CYHZ,10500,200,05,44.8686,-63.525,449,35,,23,44.8883,-63.5056,443,215,361,ASP,1,1
CYHZ,7700,200,14,44.8936,-63.5183,435,126,,32,44.8811,-63.4942,476,306,,ASP,1,1
CYIB,3500,100,04,48.7703,-91.6433,1385,39.1,,22,48.7777,-91.6341,1408,219.1,,ASP,1,1
CYID,3950,75,06,44.5419,-65.7909,460,42.7,,24,44.5499,-65.7806,499,222.7,,ASP,1,1
CYIF,4590,100,02,51.2054,-58.6571,19,352.9,,20,51.2179,-58.6596,13,172.9,,ASP,1,1
CYIK,3521,100,08,62.4142,-77.9333,103,51,,26,62.4202,-77.9172,123,231,,,1,1
CYIO,4000,100,02T,72.6783,-77.9738,181,23,,20T,72.6884,-77.9595,170,203,,GVL,1,1
CYIV,4000,100,12,53.8601,-94.6456,770,123,,30,53.8539,-94.6456,770,303,,GVL,0,1
CYJM,4000,75,10,54.4003,-124.271,,124,,28,54.3942,-124.255,,304,,ASP,0,1
CYJN,2474,100,02,45.2908,-73.2758,129,360,,20,45.2975,-73.2758,126,180,,ASP,0,1
CYJN,2765,100,06,45.2925,-73.2847,133,45.1,,24,45.2978,-73.2772,127,225.1,,ASP,0,1
CYJN,4000,100,11,45.2925,-73.2894,136,90,600,29,45.2925,-73.2739,128,270,,ASP,1,1
CYJT,3900,150,02,48.5339,-58.5525,19,355.5,,20,48.5442,-58.5537,36,175.5,,PEM,0,1
CYJT,10000,200,09,48.5403,-58.5694,15,71.7,,27,48.5489,-58.5303,84,251.7,,ASP,1,1
CYKA,2074,50,04,50.6992,-120.443,1129,61,,22,50.7019,-120.435,1129,241,,ASP,0,1
CYKA,8000,148,09,50.7039,-120.456,1130,103,,27,50.7003,-120.431,1133,283,,ASP,1,1
CYKD,3000,75,13,68.2269,-135.011,19,153,,31,68.2197,-135.001,20,333,,GVL,1,1
CYKF,7002,150,08,43.458,-80.3897,1024,64.1,,26,43.4653,-80.3668,1054,244.1,,ASP,1,1
CYKF,4100,148,14,43.4625,-80.3916,1027,129,,32,43.4555,-80.3795,1025,309,,ASP,1,1
CYKL,5000,150,18,54.8106,-66.8108,1688,149,,36,54.7989,-66.7986,1698,329,,ASP,1,1
CYKM,2087,50,05,44.2006,-81.6031,766,42.3,,23,44.2047,-81.5978,772,222.3,,ASP,1,1
CYKM,4085,75,13,44.2044,-81.6133,768,121,,31,44.1986,-81.6,768,301,,ASP,1,1
CYKO,3510,100,08,60.8164,-78.1575,41,62.9,,26,60.8208,-78.1397,75,242.9,,GVL,1,1
CYKX,4500,100,08,48.2082,-79.99,1157,71,,26,48.2123,-79.9725,1136,251,,ASP,1,1
CYKY,3507,75,07,51.5183,-109.188,2277,89.8,,25,51.5183,-109.173,2277,269.8,,ASP,1,1
CYKY,2281,100,17,51.5182,-109.18,,179.9,,35,51.512,-109.18,,359.9,,GRS,0,1
CYKZ,2694,80,03,43.8575,-79.3708,624,33,,21,43.8644,-79.3672,649,213,,ASP,1,1
CYKZ,3897,100,15,43.8644,-79.3733,640,142,,33,43.8556,-79.3639,638,322,,ASP,1,1
CYLB,5700,100,11,54.7753,-112.042,1884,129,,29,54.7653,-112.021,1884,309,,ASP,1,1
CYLD,3000,75,05,47.8169,-83.3567,1460,39.3,,23,47.8233,-83.3489,1447,219.3,,ASP,1,1
CYLD,5000,100,10,47.8219,-83.3569,1470,92.3,,28,47.8214,-83.3367,1421,272.3,,ASP,1,1
CYLI,3990,75,14,50.68,-121.896,,161.5,,32,50.6694,-121.891,,341.5,,ASP,0,1
CYLJ,5000,100,09,54.1249,-108.534,1576,100,,27,54.1225,-108.511,1576,280,,ASP,1,1
CYLJ,2290,75,17,54.1303,-108.516,,179,,35,54.124,-108.515,,359,,ASP,1,1
CYLL,5577,150,08,53.3092,-110.085,2193,90,,26,53.3092,-110.06,2158,270,,ASP,1,1
CYLL,1500,100,11,53.3113,-110.091,2187,122,,29,53.3092,-110.085,,302,,GRS,0,1
CYLQ,5000,150,01,47.4028,-72.7875,,352.9,,19,47.4164,-72.79,,172.9,,ASP,1,1
CYLR,3000,75,18,56.5178,-99.9847,,183,,36,56.5094,-99.9856,,3,,ASP,1,1
CYLS,6001,100,10,44.4853,-79.5653,968,88.8,,28,44.4856,-79.5464,955,268.8,303,ASP,1,1
CYLT,5500,150,05T,82.5128,-62.3233,100,48,,23T,82.5228,-62.2378,96,228,,GVL,1,1
CYLW,8900,200,16,49.9661,-119.379,1421,175,1200,34,49.9462,-119.376,1370,355,400,ASP,1,1
CYMA,4856,100,07,63.6164,-135.883,1653,90,,25,63.6164,-135.853,1639,270,,GVL,1,1
CYME,5500,150,09,48.8539,-67.4624,89,71.3,,27,48.8587,-67.4408,102,251.3,,ASP,1,1
CYMG,3600,100,05,49.0803,-85.8656,1171,42,,23,49.0875,-85.8556,1198,222,,ASP,1,1
CYMJ,3400,100,03,50.3261,-105.558,1891,44,,21,50.3328,-105.548,1873,224,,ASP,1,1
CYMJ,8326,150,11L,50.3379,-105.575,1882,118.5,,29R,50.327,-105.543,1880,298.5,,ASP,1,1
CYMJ,7280,150,11R,50.3311,-105.574,1891,118,,29L,50.3217,-105.546,1892,298,,ASP,1,1
CYML,4500,150,15,47.6011,-70.2311,977,127,,33,47.5939,-70.2167,951,307,,ASP,1,1
CYMM,7503,150,08,56.6532,-111.242,1205,90,,26,56.6532,-111.207,1207,270,500,ASP,1,1
CYMO,4000,100,06,51.2881,-80.6089,26,43,,24,51.2961,-80.5969,25,223,,ASP,1,1
CYMO,3500,100,14,51.295,-80.6197,30,127,,32,51.2892,-80.6075,26,307,,COM,1,1
CYMT,6496,150,05,49.764,-74.5345,1262,28.3,,23,49.7797,-74.5215,1270,208.3,,ASP,1,1
CYMW,4920,150,03,46.268,-75.9928,613,17,,21,46.2809,-75.9872,656,197,,ASP,1,1
CYMX,12000,200,06,45.6704,-74.0218,256,45.4,,24,45.6937,-73.9886,238,225.4,,CON,1,1
CYMX,8852,200,11,45.6708,-74.09,247,98.2,,29,45.6661,-74.0436,270,278.2,,CON,0,1
CYNA,4494,100,14,50.1928,-61.7978,35,118,,32,50.1869,-61.7806,39,298,,ASP,1,1
CYND,6000,150,09,45.5196,-75.5749,209,75,,27,45.5238,-75.5523,211,255,,ASP,1,1
CYNH,5200,100,05,56.0336,-121.988,,74.1,200,23,56.0375,-121.964,,254.1,200,ASP,0,1
CYNM,5000,100,15,49.7665,-77.8101,908,134.2,,33,49.7569,-77.7949,918,314.2,,ASP,1,1
CYOC,4900,100,04,67.5661,-139.855,813,61.1,300,22,67.5728,-139.824,821,241.1,200,GVL,1,1
CYOD,8270,200,04,54.3967,-110.285,1772,52,,22,54.4106,-110.255,1767,232,,ASP,1,1
CYOD,12600,200,13L,54.4189,-110.305,1772,143,,31R,54.3911,-110.27,1775,323,,ASP,1,1
CYOD,10000,150,13R,54.4167,-110.311,1771,143,,31L,54.3944,-110.282,1773,323,,ASP,1,1
CYOJ,5000,150,13,58.6275,-117.171,1109,154,,31,58.6153,-117.159,1098,334,,ASP,1,1
CYOO,2654,100,05,43.9197,-78.8975,442,35,,23,43.9261,-78.8925,458,215,,ASP,1,1
CYOO,4000,100,12,43.9244,-78.9039,459,109.1,,30,43.9208,-78.8894,447,289.1,,ASP,1,1
CYOP,4539,100,09,58.4935,-119.419,1759,110,,27,58.4892,-119.397,1759,290,,ASP,1,1
CYOS,3932,75,18,44.5956,-80.8389,1007,170.1,,36,44.5853,-80.8364,1004,350.1,,ASP,1,1
CYOW,3300,75,04,45.3261,-75.689,348,25.6,250,22,45.3343,-75.6835,335,205.6,,ASP,0,1
CYOW,8000,200,07,45.3133,-75.671,373,57.2,,25,45.3252,-75.6448,362,237.2,,ASP,1,1
CYOW,10000,200,14,45.327,-75.6862,349,126.3,,32,45.3108,-75.6549,371,306.3,,ASP,1,1
CYPA,5000,150,08,53.218,-105.685,1405,91,,26,53.218,-105.661,1401,271,,ASP,1,1
CYPA,2500,100,16,53.2177,-105.674,1402,169.9,,34,53.2108,-105.672,1396,349.9,,GRS,0,1
CYPC,4000,100,02T,69.356,-124.064,13,20,,20T,69.3662,-124.053,17,200,,GVL,1,1
CYPD,5000,150,11,45.6565,-61.3781,334,90,,29,45.6565,-61.3586,375,270,,ASP,1,1
CYPE,5000,150,04,56.2233,-117.458,1873,61.4,,22,56.23,-117.436,1861,241.4,,ASP,1,1
CYPE,1900,150,08,56.2275,-117.443,,102,,26,56.2264,-117.434,,282,,GRS,0,1
CYPG,3045,150,01,49.9039,-98.2692,869,19,,19,49.9117,-98.265,861,199,,,1,1
CYPG,2520,150,08,49.9117,-98.2772,866,89,,26,49.9119,-98.2664,861,269,,,0,1
CYPG,3130,150,13L,49.9108,-98.2792,869,134,,31R,49.905,-98.2694,869,314,,ASP,0,1
CYPG,7000,200,13R,49.9067,-98.2839,878,133,,31L,49.8933,-98.2617,885,313,,ASP,1,1
CYPK,2485,75,08L,49.2192,-122.715,10,95,,26R,49.2186,-122.705,9,275,,ASP,0,1
CYPK,5003,100,08R,49.215,-122.722,11,96,197,26L,49.2136,-122.702,9,276,164,ASP,1,1
CYPK,2484,75,18,49.2193,-122.706,9,202,,36,49.2131,-122.709,9,22,,ASP,1,1
CYPL,4921,100,09,51.4465,-90.2249,1267,90,,27,51.4465,-90.2033,1227,270,,ASP,1,1
CYPN,4886,150,11,49.8364,-64.2989,158,90,,29,49.8364,-64.2783,158,270,,ASP,1,1
CYPQ,7000,100,09,44.2284,-78.3749,625,76,,27,44.2318,-78.3564,628,256,1651,ASP,1,1
CYPQ,2000,100,13,44.2228,-78.3578,,118,,31,44.2203,-78.3511,,298,550,ASP,0,1
CYPR,6000,200,13,54.2933,-130.452,94,151.5,,31,54.2789,-130.438,116,331.5,,ASP,1,1
CYPS,3917,100,06,50.3018,-122.746,,83,,24,50.3032,-122.729,,263,,ASP,0,1
CYPT,3300,75,09,41.7806,-82.6842,571,88.3,,27,41.7808,-82.6719,572,268.3,,ASP,1,1
