airport,length,width,le_name,le_latitude,le_longitude,le_elevation,le_heading,le_displaced_threshold,he_name,he_latitude,he_longitude,he_elevation,he_heading,he_displaced_threshold,surface,lighted,active
SCBQ,6024,131,02,-33.569,-70.6932,,28.8,,20,-33.5546,-70.6836,,208.8,,CON,1,1
SCCC,3937,75,12,-46.5794,-71.6928,,137,,30,-46.5873,-71.682,,317,,ASP,0,1
SCCF,9478,98,10,-22.4974,-68.9176,7424,93.6,,28,-22.499,-68.8896,7613,273.6,,ASP,1,1
SCCH,5740,98,04,-36.5881,-72.0383,499,45,,22,-36.5769,-72.0245,499,225,,ASP,1,1
SCCI,5504,148,01,-53.008,-70.855,122,28.7,,19,-52.9948,-70.843,110,208.7,,ASP,1,1
SCCI,9154,148,07,-53.0012,-70.8753,139,88.8,,25,-53.0006,-70.8338,112,268.8,,ASP,1,1
SCCI,7875,148,12,-52.9975,-70.8687,138,138.9,,30,-53.0138,-70.8452,112,318.9,,ASP,1,1
SCCL,3936,75,11,-27.0763,-70.8011,,108.4,,29,-27.0798,-70.7895,,288.4,,ASP,0,1
SCCY,5072,98,03,-45.599,-72.1132,1020,45.6,,21,-45.5894,-72.0991,1020,225.6,,ASP,0,1
SCDA,10991,148,01,-20.5503,-70.1822,97,6,,19,-20.5202,-70.1805,156,186,,ASP,1,1
SCDW,3937,98,04,-53.6161,-70.4821,,52.1,,22,-53.6098,-70.4686,,232.1,,ASP,0,1
SCDW,4905,92,12,-53.6019,-70.484,,137.7,,30,-53.6119,-70.4687,,317.7,,ASP,0,1
SCEL,12303,180,17L,-33.3761,-70.7867,1550,178,,35R,-33.4099,-70.7852,1555,358,1800,ASP,1,1
SCEL,12303,148,17R,-33.3719,-70.8037,1551,177,,35L,-33.4069,-70.8019,1550,357,,ASP,1,1
SCER,3937,164,02,-32.7952,-71.5241,12,22,,20,-32.7852,-71.5193,10,202,,CON,0,1
SCES,7546,98,09,-26.3113,-69.7767,,88.8,,27,-26.3109,-69.7537,,268.8,,ASP,1,1
SCFA,8527,164,01,-23.4561,-70.4466,352,6.9,,19,-23.4328,-70.4436,455,186.9,,ASP,1,1
SCFM,2614,98,03,-53.2511,-70.3331,,46.6,,21,-53.2452,-70.3227,,226.6,,GVL,0,1
SCFM,8202,98,09,-53.2498,-70.3369,61,110.1,,27,-53.2576,-70.3015,104,290.1,,ASP,1,1
SCFT,3110,59,09,-43.1882,-71.857,,103,,27,-43.1902,-71.8453,,283,,ASP,0,1
SCGE,5577,98,18,-37.3941,-72.4246,363,185.3,,36,-37.4094,-72.4263,370,5.3,,ASP,1,1
SCGZ,4724,95,08,-54.931,-67.6375,88,91.4,,26,-54.9312,-67.615,42,271.4,,ASP,1,1
SCHR,3346,75,07,-47.2441,-72.5951,,87.1,,25,-47.2436,-72.5817,,267.1,,ASP,0,1
SCIE,7540,148,02,-36.782,-73.0686,26,25,,20,-36.7633,-73.0576,16,205,,ASP,1,1
SCIL,3740,72,02,-31.5824,-71.1134,,26,,20,-31.5732,-71.1083,,206,,ASP,0,1
SCIP,10827,148,10,-27.158,-109.437,127,117.2,,28,-27.1716,-109.407,227,297.2,,ASP,1,1
SCJO,5578,118,13,-40.6043,-73.0652,,155.3,,31,-40.6182,-73.0568,,335.3,,,1,1
SCKP,3393,66,10,-20.7353,-68.6884,,97.5,,28,-20.7365,-68.6786,,277.5,,BIT,0,1
SCKP,10499,98,17,-20.7375,-68.6852,,169.9,,35,-20.7659,-68.6797,,349.9,,ASP,1,1
SCLL,4624,98,10,-28.5955,-70.7631,,98,,28,-28.5973,-70.7489,,278,,ASP,1,1
SCNT,5786,98,10,-51.6676,-72.5394,,120,,28,-51.6754,-72.5173,,300,,ASP,1,1
SCOT,3084,39,07,-30.678,-71.4056,,70.2,,25,-30.6751,-71.3963,,250.2,,ASP,0,1
SCPC,5576,98,09,-39.2911,-71.9256,,102.6,,27,-39.2945,-71.9061,,282.6,,ASP,1,1
SCPE,6560,75,14,-22.9156,-68.1653,,134,,32,-22.9279,-68.1515,,314,,ASP,0,1
SCQT,3590,66,17,-30.0915,-71.3646,,174.8,,35,-30.1013,-71.3636,,354.8,636,ASP,0,1
SCQY,3084,59,09,-38.4498,-71.3607,,91,160,27,-38.4499,-71.349,,271,,ASP,0,1
SCRA,3985,98,09,-26.3318,-70.6133,,97,,27,-26.3333,-70.6013,,277,,ASP,0,1
SCRG,5414,75,03,-34.1799,-70.7811,,36,295,21,-34.1676,-70.7703,,216,,ASP,0,1
SCRM,4238,125,11,-62.1878,-58.9972,142,122,,29,-62.1939,-58.9761,127,302,,GRE,1,1
SCSE,6358,148,12,-29.9124,-71.2085,436,115.9,,30,-29.92,-71.1905,481,295.9,,ASP,1,1
SCSN,2625,59,05,-33.6587,-71.6193,234,53,,23,-33.6547,-71.6121,246,233,,ASP,1,1
SCTB,3280,98,01,-33.4613,-70.548,2129,12.8,,19,-33.4512,-70.5453,2129,192.8,552,ASP,1,1
SCTC,5577,147,06,-38.7698,-72.6461,284,67.2,,24,-38.7638,-72.6281,304,247.2,,ASP,1,1
SCTE,8694,148,17,-41.427,-73.0935,264,182,,35,-41.4508,-73.0944,294,2,,CON,1,1
SCTL,3660,80,03,-35.3817,-71.6055,,38.9,,21,-35.3739,-71.5978,,218.9,,ASP,0,1
SCTN,4670,65,13,-42.9281,-72.7051,,137,105,31,-42.9375,-72.6932,,317,,ASP,1,1
SCTO,3478,59,01,-38.2501,-72.3504,,18,,19,-38.241,-72.3468,,198,,ASP,0,1
SCTT,3920,66,15,-25.5593,-70.3782,,157.1,,33,-25.5693,-70.3736,,337.1,,ASP,0,1
SCVD,6870,148,17,-39.6405,-73.0865,59,178.4,,35,-39.6594,-73.0858,54,358.4,,ASP,1,1
SCVL,4101,54,17L,-39.7911,-73.2411,,183.1,,35R,-39.8028,-73.2419,,3.1,,CON,0,1
SCVM,5760,98,05,-32.9544,-71.486,461,52,,23,-32.9448,-71.4712,428,232,,ASP,1,1
SEAM,6316,82,01,-1.2206,-78.5763,8390,10.5,,19,-1.20354,-78.573,8502,190.5,,ASP,0,1
SECM,3281,36,01,-1.71041,-79.3806,,22,,19,-1.70214,-79.3773,,202,,ASP,0,1
SECO,6760,90,15,-0.45258,-76.9919,831,154,,33,-0.46928,-76.9837,834,334,,ASP,0,1
SECU,6234,118,05,-2.89473,-78.9911,8306,52,,23,-2.8842,-78.9777,8256,232,,ASP,1,1
SEGS,7876,115,14,-0.44499,-90.2723,145,143.8,,32,-0.46252,-90.2596,207,323.8,,ASP,1,1
SEGU,9154,151,03,-2.16827,-79.8899,16,30.6,338,21,-2.14657,-79.8772,14,210.6,810,ASP,1,1
SEGZ,6601,85,15,-3.41494,-78.5706,,156,,33,-3.43148,-78.5634,,336,,ASP,0,1
SEII,4921,98,17,-0.93592,-90.9541,,171,,35,-0.94933,-90.952,,351,,ASP,0,1
SEKK,3060,65,17,0.18842,-79.392,,179,,35,0.17999,-79.3919,,359,,ASP,0,1
SELJ,3281,49,03,-1.70833,-79.5545,,29.9,,21,-1.70044,-79.55,,209.9,,ASP,0,1
SELT,12117,148,18,-0.89018,-78.6145,9190,184,1417,36,-0.92349,-78.617,9115,4,,ASP,1,1
SEMA,3532,65,01,-4.38296,-79.942,1430,12,,19,-4.3735,-79.94,1508,192,,ASP,0,1
SEMC,8202,98,01,-2.31011,-78.1236,3356,15,,19,-2.28822,-78.118,3452,195,,ASP,0,1
SEMO,4725,75,08,-2.06751,-76.9822,,84.5,,26,-2.06627,-76.9693,,264.5,,ASP,0,1
SEMT,9383,148,05,-0.95333,-80.6894,37,55.8,,23,-0.93882,-80.6682,48,235.8,,ASP,1,1
