icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,approach_speed,cruise_speed,maximum_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,mlw,mrw,mtow,mzfw,type_certificate
A332,332,Airbus,A330-200,L2J,H,,41450,136,,,5.64,5.64,17.38,58.82,,60.30,,,,,180000,,230000,168000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A333,333,Airbus,A330-300,L2J,H,,41450,137,,,5.64,5.64,16.83,63.66,,60.30,,,,,174000,,212000,164000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A337,,Airbus,A330-743L Beluga XL,L2J,H,,35200,,,,10.49,8.80,18.95,63.12,,60.30,,,,,187000,,227000,178000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A338,338,Airbus,A330-800neo,L2J,H,,41450,,,,5.64,5.64,17.38,58.82,,64.00,,,,,186000,,242000,172000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A339,339,Airbus,A330-900neo,L2J,H,,41450,,,,5.64,5.64,16.79,63.66,,64.00,,,,,191000,,242000,177000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A342,342,Airbus,A340-200,L4J,H,,41100,136,,,5.64,5.64,16.83,59.39,,60.30,,,,,181000,,235500,169000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A343,343,Airbus,A340-300,L4J,H,,41450,138,,,5.64,5.64,16.63,63.66,,60.30,,,,,186000,,235500,174000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A345,345,Airbus,A340-500,L4J,H,,41450,146,,,5.64,5.64,17.11,67.33,,63.45,,,,,240000,,368000,225000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A346,346,Airbus,A340-600,L4J,H,,41450,153,,,5.64,5.64,17.29,74.77,,63.45,,,,,265000,,365000,242000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A35,,Avantage,A-35 Scanner,L1P,L,10000,12000,,80,100,,,3.00,6.70,,10.20,,,,480,,,800,,
