aircraft_type,picture,source,author_name,author_profile,license
A748,aircraft_types_pictures/A748.webp,https://www.flickr.com/photos/aero_icarus/8498750482/,Aero Icarus,https://www.flickr.com/photos/aero_icarus/,CC-BY-SA-2.0
AA1,aircraft_types_pictures/AA1.webp,https://www.flickr.com/photos/wiltshirespotter/14156621566/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
AA5,aircraft_types_pictures/AA5.webp,https://www.flickr.com/photos/ajw1970/45736477702/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
AEST,aircraft_types_pictures/AEST.webp,https://www.flickr.com/photos/16633132@N04/19218667558/,Ronnie Robertson,https://www.flickr.com/photos/16633132@N04/,CC-BY-SA-2.0
AMX,aircraft_types_pictures/AMX.webp,https://www.flickr.com/photos/my_public_domain_photos/47970315522/,Robert Sullivan,https://www.flickr.com/photos/my_public_domain_photos/,CC0-1.0
AN12,aircraft_types_pictures/AN12.webp,https://www.flickr.com/photos/109661044@N07/17776249063/,Rob Schleiffert,https://www.flickr.com/photos/109661044@N07/,CC-BY-SA-2.0
AN2,aircraft_types_pictures/AN2.webp,https://www.flickr.com/photos/mdpettitt/4920957205/,Martin Pettitt,https://www.flickr.com/photos/mdpettitt/,CC-BY-2.0
AN22,aircraft_types_pictures/AN22.webp,https://www.flickr.com/photos/vlsergey/7810918666/,Sergey Vladimirov,https://www.flickr.com/photos/vlsergey/,CC-BY-2.0
AN24,aircraft_types_pictures/AN24.webp,https://www.flickr.com/photos/44400809@N07/5007230659/,Dmitry Terekhov,https://www.flickr.com/photos/44400809@N07/,CC-BY-SA-2.0
AN26,aircraft_types_pictures/AN26.webp,https://www.flickr.com/photos/44400809@N07/4321311319/,Dmitry Terekhov,https://www.flickr.com/photos/44400809@N07/,CC-BY-SA-2.0
AN28,aircraft_types_pictures/AN28.webp,https://www.flickr.com/photos/ronmacphotos/36127017992/,Ronnie Macdonald,https://www.flickr.com/photos/ronmacphotos/,CC-BY-2.0
