aircraft_type,picture,source,author_name,author_profile,license
S58P,aircraft_types_pictures/S58P.webp,https://www.flickr.com/photos/lhoon/226244234/,LHOON,https://www.flickr.com/photos/lhoon/,CC-BY-SA-2.0
S61,aircraft_types_pictures/S61.webp,https://www.flickr.com/photos/wiltshirespotter/16450800380/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
S62,aircraft_types_pictures/S62.webp,https://www.flickr.com/photos/tomasdelcoro/8001394155/,Tomás Del Coro,https://www.flickr.com/photos/tomasdelcoro/,CC-BY-SA-2.0
S64,aircraft_types_pictures/S64.webp,https://www.flickr.com/photos/fun_flying/421688872/,D. Miller,https://www.flickr.com/photos/fun_flying/,CC-BY-2.0
S76,aircraft_types_pictures/S76.webp,https://www.flickr.com/photos/wiltshirespotter/14207426513/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
S92,aircraft_types_pictures/S92.webp,https://www.flickr.com/photos/airlines470/14787675702/,ERIC  SALARD,https://www.flickr.com/photos/airlines470/,CC-BY-SA-2.0
S97,aircraft_types_pictures/S97.webp,https://www.flickr.com/photos/my_public_domain_photos/42818480705/,Robert Sullivan,https://www.flickr.com/photos/my_public_domain_photos/,CC0-1.0
SBD,aircraft_types_pictures/SBD.webp,https://www.flickr.com/photos/ajw1970/49410839876/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
SMB2,aircraft_types_pictures/SMB2.webp,https://www.flickr.com/photos/kitmasterbloke/46888602924/,kitmasterbloke,https://www.flickr.com/photos/kitmasterbloke/,CC-BY-2.0
SR71,aircraft_types_pictures/SR71.webp,https://www.flickr.com/photos/37467370@N08/7331365524/,Greg Goebel,https://www.flickr.com/photos/37467370@N08/,CC-BY-SA-2.0
T134,aircraft_types_pictures/T134.webp,https://www.flickr.com/photos/33465428@N02/4353040171/,Dean Morley,https://www.flickr.com/photos/33465428@N02/,CC-BY-ND-2.0
T144,aircraft_types_pictures/T144.webp,https://www.flickr.com/photos/44400809@N07/43501287784/,Dmitry Terekhov,https://www.flickr.com/photos/44400809@N07/,CC-BY-SA-2.0
T154,aircraft_types_pictures/T154.webp,https://www.flickr.com/photos/44400809@N07/25343703266/,Dmitry Terekhov,https://www.flickr.com/photos/44400809@N07/,CC-BY-SA-2.0
