airport,description,frequency,type
KCNU,KANSAS CITY CNTR,132900,CNTR
KCNU,WICHITA RDO,122350,RDO
KCNW,AWOS 3,134225,AWOS
KCNW,CTAF,124000,CTAF
KCNW,CTAS RDO,123550,MISC
KCNW,FORT WORTH RDO,122150,RDO
KCNW,GND,121700,GND
KCNW,TWR,124000,TWR
KCNW,UNICOM,122950,UNIC
KCNW,WACO APP,135200,APP
KCNW,WACO DEP,126125,DEP
KCNY,ASOS,118525,ASOS
KCNY,CEDAR CITY RDO,122300,RDO
KCNY,CTAF/UNICOM,122800,UNIC
KCNY,DENVER CNTR,134500,CNTR
KCOD,AWOS 3,135075,AWOS
KCOD,CASPER RDO,122300,RDO
KCOD,CTAF/UNICOM,122800,UNIC
KCOD,SALT LAKE CITY CNTR,133250,CNTR
KCOE,AWOS 3,135075,AWOS
KCOE,BOISE RDO,122050,RDO
KCOE,CTAF/UNICOM,122800,UNIC
KCOE,SEATTLE CNTR,123950,CNTR
KCOE,SPOKANE APP/DEP,132100,A/D
KCOF,ATIS,119175,ATIS
KCOF,BEACH OPS,311000,OPS
KCOF,CLNC DEL,118400,CLD
KCOF,GND,124350,GND
KCOF,KING OPS,150350,OPS
KCOF,ORLANDO APP/DEP,132650,A/D
KCOF,PMSV METRO,344600,PMSV
KCOF,PTD,139300,PTD
KCOF,RESCUE OPS,138475,OPS
KCOF,TWR,133750,TWR
KCOI,ASOS,119025,ASOS
KCOI,CTAF/UNICOM,123050,UNIC
KCOI,ORLANDO APP/DEP,134950,A/D
KCOM,CTAF/UNICOM,122800,UNIC
KCOM,FORT WORTH CNTR,127345,CNTR
KCON,ARNG OPS,32100,OPS
KCON,ASOS,132320,ASOS
KCON,BANGOR RDO,122300,RDO
KCON,BOSTON APP/DEP,127350,A/D
KCON,CLNC DEL,133650,CLD
KCON,CTAF/UNICOM,122700,UNIC
KCOS,AFRC OPS,29840,OPS
KCOS,ATIS,125000,ATIS
KCOS,CLNC DEL,134450,CLD
KCOS,CTAF,124150,CTAF
KCOS,DENVER RDO,122250,RDO
KCOS,GND,121700,GND
KCOS,PETERSON PTD,122850,PTD
KCOS,PMSV PETERSON METRO,34920,PMSV
KCOS,SPRINGS APP,118500,APP
KCOS,SPRINGS DEP,124000,DEP
KCOS,SPRINGS TWR,119900,TWR
KCOS,UNICOM,122950,UNIC
KCOT,ASOS,134075,ASOS
KCOT,CTAF/UNICOM,122700,UNIC
KCOT,HOUSTON CNTR,134600,CNTR
KCOT,SAN ANGELO RDO,122200,RDO
KCOU,ATIS,128450,ATIS
KCOU,CTAF,119300,CTAF
KCOU,GND,121600,GND
KCOU,MIZZU APP/DEP,124375,A/D
KCOU,RDO,122200,RDO
KCOU,TWR,119300,TWR
KCOU,UNICOM,122950,UNIC
KCPM,CTAF/UNICOM,123050,UNIC
KCPR,ATIS,126150,ATIS
KCPR,CASPER APP/DEP,119000,A/D
KCPR,CASPER GND/CLNC DEL,121900,GCCD
KCPR,CASPER RDO,122200,RDO
KCPR,CASPER TWR,118300,TWR
KCPR,CTAF,118300,CTAF
KCPR,UNICOM,122950,UNIC
KCPR,VFR ADVSY SVC,118300,AAS
KCPS,APP/DEP,123700,A/D
KCPS,ATIS,121450,ATIS
KCPS,CLNC DEL,121800,CLD
KCPS,CTAF,119925,CTAF
KCPS,DOWNTOWN TWR,119925,TWR
KCPS,GND,121800,GND
KCPS,UNICOM,122950,UNIC
KCRE,ANDERSON RDO,123600,RDO
KCRE,ATIS,119625,ATIS
KCRE,CTAF,124600,CTAF
KCRE,MYRTLE BEACH APP/DEP,119200,A/D
KCRE,STRAND GND,121800,GND
KCRE,STRAND TWR,124600,TWR
KCRE,UNICOM,122950,UNIC
KCRG,ATIS,125400,ATIS
KCRG,CLNC DEL,118350,CLD
KCRG,CTAF,132100,CTAF
KCRG,GAINESVILLE RDO,122200,RDO
KCRG,GND,121800,GND
KCRG,JACKSONVILLE APP,124900,APP
KCRG,JACKSONVILLE DEP,118000,DEP
KCRG,TWR,132100,TWR
KCRG,UNICOM,122950,UNIC
KCRO,CTAF,122900,CTAF
KCRP,APP/DEP,120900,A/D
KCRP,ATIS,126800,ATIS
KCRP,CLNC DEL,118550,CLD
KCRP,GND,121900,GND
KCRP,SAN ANGELO RDO,122650,RDO
KCRP,TWR,119400,TWR
KCRP,UNICOM,122950,UNIC
KCRQ,ATIS,120150,ATIS
KCRQ,CLNC DEL,134850,CLD
KCRQ,CTAF,118600,CTAF
KCRQ,GND,121800,GND
KCRQ,SAN DIEGO RDO,115300,RDO
KCRQ,SOCAL APP/DEP,127300,A/D
KCRQ,TWR,118600,TWR
KCRS,ASOS,120675,ASOS
KCRS,CTAF/UNICOM,122800,UNIC
KCRS,FORT WORTH CNTR,135250,CNTR
KCRT,CTAF/UNICOM,122800,UNIC
KCRT,MEMPHIS CNTR,135875,CNTR
KCRW,ANG COMD POST/OPS,30230,POST
KCRW,ATIS,127600,ATIS
KCRW,CHARLESTON APP/DEP,128500,A/D
KCRW,CHARLESTON TWR,125700,TWR
KCRW,CLNC DEL,118550,CLD
KCRW,ELKINS RDO,122200,RDO
KCRW,GND,121800,GND
KCRW,UNICOM,122950,UNIC
KCRX,AWOS 3,118675,AWOS
KCRX,CTAF/UNICOM,122800,UNIC
KCRX,MEMPHIS CNTR,135900,CNTR
KCSG,ATIS,127750,ATIS
KCSG,ATLANTA  APP/DEP,125500,A/D
KCSG,CTAF,120100,CTAF
KCSG,GND,121900,GND
KCSG,MACON RDO,122650,RDO
KCSG,TWR,120100,TWR
KCSG,UNICOM,122950,UNIC
KCSM,ASOS,135225,ASOS
KCSM,CTAF,119600,CTAF
KCSM,FORT WORTH CNTR,128400,A/D
KCSM,GND,121700,GND
KCSM,TWR,119600,TWR
KCSM,UNICOM,122950,UNIC
KCSQ,AWOS 3,124750,AWOS
KCSQ,CTAF/UNICOM,122800,UNIC
KCSQ,MINNEAPOLIS CNTR,125650,CNTR
KCSV,ASOS,120625,ASOS
KCSV,ATLANTA CNTR,133600,CNTR
KCSV,CTAF/UNICOM,122700,UNIC
KCSV,NASHVILLE RDO,122200,RDO
KCTB,ASOS,119025,ASOS
KCTB,CTAF/UNICOM,122800,UNIC
KCTB,GREAT FALLS RDO,122200,RDO
KCTB,SALT LAKE CITY CNTR,133400,ARTC
KCTY,CTAF/UNICOM,122800,UNIC
KCTY,GAINESVILLE RDO,112000,RDO
KCTY,JACKSONVILLE CNTR,127800,CNTR
KCTZ,AWOS 3,119125,AWOS
KCTZ,CTAF/UNICOM,122800,UNIC
KCTZ,FAYETTEVILLE APP/DEP,133000,A/D
KCUB,ANDERSON RDO,114700,RDO
KCUB,APP/DEP,133400,A/D
KCUB,ASOS,119675,ASOS
KCUB,CLNC DEL,124400,CLD
KCUB,CTAF/UNICOM,122800,UNIC
KCUB,MIL OPS,122800,OPS
KCUH,AWOS 3,118250,AWOS
KCUH,CTAF/UNICOM,122800,UNIC
KCUH,KANSAS CITY CNTR,128300,CNTR
KCVG,APP,119700,APP
KCVG,ATIS,134375,ATIS
KCVG,CLNC DEL,127175,CLD
KCVG,DEP,126650,DEP
KCVG,GND,121300,GND
KCVG,LOUISVILLE RDO,117300,RDO
KCVG,TWR,118300,TWR
KCVG,UNICOM,122950,UNIC
KCVN,ALBUQUERQUE RDO,122500,RDO
KCVN,AWOS 3,135375,AWOS
KCVN,CANNON APP,125500,APP
KCVN,CANNON CLNC DEL,119000,CLD
KCVN,CANNON DEP,125500,DEP
KCVN,CTAF/UNICOM,122800,UNIC
KCVO,AWOS 3,135775,AWOS
KCVO,CASCADE APP/DEP,127500,A/D
KCVO,CTAF/UNICOM,123000,UNIC
KCVS,APP,125500,APP
KCVS,ATIS,119100,ATIS
KCVS,CLNC DEL,120200,CLD
KCVS,COMD POST,38130,POST
KCVS,DEP,125500,DEP
KCVS,GND,121900,GND
KCVS,PMSV METRO,34460,PMSV
KCVS,PTD,139600,PTD
KCVS,TWR,120400,TWR
KCWA,ATIS,127450,ATIS
KCWA,AWOS 3,127450,AWOS
KCWA,CTAF,119750,CTAF
KCWA,GND,121900,GND
KCWA,GREEN BAY RDO,122525,RDO
KCWA,MINNEAPOLIS CNTR,124400,CNTR
KCWA,TWR,119750,TWR
KCWA,UNICOM,122950,UNIC
KCWF,AWOS 3,120000,AWOS
KCWF,CTAF,124200,CTAF
KCWF,GND,121650,GND
KCWF,LAKE CHARLES APP/DEP,119800,A/D
KCWF,TWR,124200,TWR
KCWF,UNICOM,122950,UNIC
KCWI,AWOS 3,125525,AWOS
KCWI,CTAF/UNICOM,122800,UNIC
KCWI,QUAD CITY APP/DEP,125950,A/D
KCWI,QUAD CITY CLNC DEL,118500,CLD
KCXL,CTAF/UNICOM,122800,UNIC
KCXO,ASOS,118325,ASOS
KCXO,CLNC DEL,119550,CLD
KCXO,CTAF/UNICOM,122950,UNIC
KCXO,HOUSTON APP/DEP,119700,A/D
KCXO,RDO,122200,RDO
KCYS,ANG OPS/COMD POST,22552,OPS
KCYS,APP/DEP,124550,A/D
KCYS,ARNG OPS,126200,MISC
KCYS,ATIS,134425,ATIS
KCYS,CASPER RDO,122300,RDO
KCYS,CTAF,118700,CTAF
KCYS,GND,121900,GND
KCYS,TWR,118700,TWR
KCYS,UNICOM,122950,UNIC
KCZT,CTAF/UNICOM,122800,UNIC
KCZT,HOUSTON CNTR,126100,CNTR
KDAA,ARNG OPS,52750,MISC
KDAA,ATIS,128175,ATIS
KDAA,BASE OPS,139400,OPS
KDAA,CLNC DEL,24520,CLD
KDAA,CTAF,126300,CTAF
KDAA,GND,121900,GND
KDAA,PMSV METRO,139400,PMSV
KDAA,POTOMAC APP,119850,APP
KDAA,POTOMAC DEP,118100,DEP
KDAA,PTD,139400,PTD
KDAA,TWR,126300,TWR
KDAB,APP,118850,APP
KDAB,ATIS,120050,ATIS
KDAB,CLNC DEL,119300,CLD
KDAB,DEP,123900,DEP
KDAB,GND,121900,GND
KDAB,TWR,120700,TWR
KDAB,UNICOM,122950,UNIC
KDAG,ASOS,132175,ASOS
KDAG,CTAF/UNICOM,123000,UNIC
KDAG,HAWK 86,46700,MISC
KDAG,LOS ANGELES CNTR,132500,CNTR
KDAG,RIVERSIDE RDO,122200,RDO
KDAL,ATIS,120150,ATIS
KDAL,CLNC DEL,127900,CLD
KDAL,FORT WORTH RDO,122300,RDO
KDAL,GND,121750,GND
KDAL,LOVE TWR,118700,TWR
KDAL,RGNL APP,124300,APP
KDAL,RGNL DEP,118550,DEP
KDAL,UNICOM,122950,UNIC
KDAN,ASOS,128125,ASOS
KDAN,CTAF/UNICOM,123050,UNIC
KDAN,LEESBURG RDO,122200,RDO
KDAN,WASHINGTON CNTR,124050,CNTR
KDAY,ATIS,125800,ATIS
KDAY,CLNC DEL,121750,CLD
KDAY,DAYTON APP/DEP,118000,A/D
KDAY,DAYTON RDO,122200,RDO
KDAY,DAYTON TWR,119900,TWR
KDAY,GND,121900,GND
KDAY,UNICOM,122950,UNIC
KDBN,ATLANTA APP/DEP,119600,A/D
KDBN,AWOS 3,118425,AWOS
KDBN,CTAF/UNICOM,122700,UNIC
KDBQ,ATIS,127250,ATIS
KDBQ,CHICAGO CNTR,127000,CNTR
KDBQ,CTAF,119500,CTAF
KDBQ,FORT DODGE RDO,122050,RDO
KDBQ,GND,121800,GND
KDBQ,TWR,119500,TWR
KDBQ,UNICOM,122950,UNIC
KDCA,ATIS,132650,ATIS
KDCA,CLNC DEL,128250,CLD
KDCA,GND,121700,GND
KDCA,POTOMAC APP,118300,APP
KDCA,POTOMAC DEP,118950,DEP
KDCA,UNICOM,122950,UNIC
KDCA,WASHINGTON TWR,119100,TWR
KDCU,ANNISTON RDO,122600,RDO
KDCU,ASOS,118375,ASOS
KDCU,CTAF/UNICOM,123075,UNIC
KDCU,HUNTSVILLE APP/DEP,118050,A/D
KDDC,ASOS,118525,ASOS
KDDC,CTAF/UNICOM,122700,UNIC
KDDC,KANSAS CITY CNTR,125200,CNTR
KDDC,WICHITA RDO,122350,RDO
KDEC,ATIS,126350,ATIS
KDEC,CHAMPAIGN APP/DEP,132850,A/D
KDEC,CTAF,118900,CTAF
KDEC,GND,121750,GND
KDEC,ST LOUIS RDO,122300,RDO
KDEC,TWR,118900,TWR
KDEC,UNICOM,122950,UNIC
KDEH,AWOS 3,120925,AWOS
KDEH,CTAF/UNICOM,122800,UNIC
KDEH,MINNEAPOLIS CNTR,118850,CNTR
KDEN,APP,119300,APP
KDEN,ATIS,125600,ATIS
KDEN,CLNC DEL,118750,CLD
KDEN,DEP,126100,DEP
KDEN,GND,121850,GND
KDEN,RDO,123650,RDO
KDEN,TWR,124300,TWR
KDEN,UNICOM,122950,UNIC
KDET,APP/DEP,126850,A/D
KDET,ATIS,124875,ATIS
KDET,GND,121850,GND
KDET,LANSING RDO,122200,RDO
KDET,TWR,121300,TWR
KDET,UNICOM,122950,UNIC
KDFI,ASOS,121425,ASOS
KDFI,CTAF/UNICOM,122700,UNIC
KDFI,TOLEDO APP/DEP,134350,A/D
KDFW,ATIS,123775,ATIS
KDFW,CLNC DEL,128250,CLD
KDFW,RGNL APP,119875,APP
KDFW,RGNL APP,28465,APP
KDFW,RGNL DEP,118550,DEP
KDFW,RGNL DEP,31985,DEP
KDFW,RGNL GND,121650,GND
KDFW,RGNL TWR,124150,TWR
KDFW,UNICOM,122950,UNIC
KDGL,CTAF/UNICOM,122800,UNIC
KDGL,PRESCOTT RDO,122600,RDO
KDGW,ASOS,135225,ASOS
KDGW,CASPER RDO,121975,RDO
KDGW,CTAF/UNICOM,122800,UNIC
KDGW,DENVER CNTR,135600,CNTR
KDHN,ANNISTON RDO,122200,RDO
KDHN,ATIS,135720,ATIS
KDHN,CAIRNS APP/DEP,125400,A/D
KDHN,CTAF,118400,CTAF
KDHN,GND,121700,GND
KDHN,TWR,118400,TWR
KDHN,UNICOM,122950,UNIC
KDHN,VFR ADVSY SVC,118400,MISC
KDHT,ALBUQUERQUE CNTR,127850,CNTR
KDHT,ASOS,134075,ASOS
KDHT,CTAF/UNICOM,122950,UNIC
KDHT,FORT WORTH RDO,122200,RDO
KDIK,CTAF/UNICOM,123000,UNIC
KDIK,GRAND FORKS RDO,122200,RDO
KDIK,MINNEAPOLIS CNTR,124250,CNTR
KDKK,ASOS,119275,ASOS
KDKK,BUFFALO APP/DEP,126500,A/D
KDKK,BUFFALO RDO,116200,RDO
KDKK,CTAF/UNICOM,123075,UNIC
KDLF,ATIS,114400,ATIS
KDLF,CLNC DEL,120500,CLD
KDLF,DEL RIO APP,119600,APP
KDLF,DEL RIO DEP,119600,DEP
KDLF,GND,138750,GND
KDLF,PMSV METRO,35460,PMSV
KDLF,PTD,37220,PTD
KDLF,TWR,125200,TWR
KDLH,ANG COMD POST,28890,POST
KDLH,APP/DEP,125450,A/D
KDLH,ATIS,124100,ATIS
KDLH,GND,121900,GND
KDLH,PRINCETON RDO,122350,RDO
KDLH,PTD,28890,PTD
KDLH,TWR,118300,TWR
KDLH,UNICOM,122950,UNIC
KDLL,AWOS 3,118325,AWOS
KDLL,CTAF/UNICOM,123000,UNIC
KDLL,GREEN BAY RDO,117000,RDO
KDLL,MADISON APP/DEP,135450,A/D
KDLN,ASOS,135225,ASOS
KDLN,CTAF/UNICOM,122800,UNIC
KDLN,GREAT FALLS RDO,122150,RDO
KDLN,SALT LAKE CITY CNTR,132400,CNTR
KDLS,ASOS,135175,ASOS
KDLS,CTAF/UNICOM,123000,UNIC
KDLS,SEATTLE CNTR,119650,CNTR
KDLS,SEATTLE RDO,122650,RDO
KDMA,ATIS,27010,ATIS
KDMA,CLNC DEL,121800,CLD
KDMA,COMD POST,38130,ACP
KDMA,GND,121800,GND
KDMA,PMSV METRO,23980,PMSV
KDMA,PTD,37220,PTD
KDMA,TUCSON APP/DEP,119400,A/D
KDMA,TWR,118850,TWR
KDMN,ALBUQUERQUE CNTR,128200,CNTR
KDMN,ALBUQUERQUE RDO,122200,RDO
KDMN,ASOS,118525,ASOS
KDMN,CTAF/UNICOM,122800,UNIC
KDMO,ASOS,120525,ASOS
KDMO,COLUMBIA RDO,122050,RDO
KDMO,CTAF/UNICOM,122800,UNIC
KDMO,WHITEMAN APP,127450,APP
KDMO,WHITEMAN DEP,125925,DEP
KDNL,ASOS,135275,ASOS
KDNL,AUGUSTA APP/DEP,126800,A/D
KDNL,CLNC DEL,128100,CLD
KDNL,CTAF/UNICOM,123050,UNIC
KDNL,MACON RDO,122300,RDO
KDNN,AWOS 3,127650,AWOS
KDNN,CHATTANOOGA APP/DEP,125100,A/D
KDNN,CLNC DEL,120250,CLD
KDNN,CTAF/UNICOM,122975,UNIC
KDNS,AWOS 3,119950,AWOS
KDNS,CTAF/UNICOM,122800,UNIC
KDNS,FORT DODGE RDO,122250,RDO
KDNS,MINNEAPOLIS CNTR,119600,CNTR
KDNV,AWOS 3,119275,AWOS
KDNV,CHAMPAIGN APP/DEP,121350,A/D
KDNV,CHAMPAIGN CLNC DEL,121700,CLD
KDNV,CTAF/UNICOM,122700,UNIC
KDNV,ST LOUIS RDO,111000,RDO
KDOV,APP,132425,APP
KDOV,ATIS,135050,ATIS
KDOV,CLNC DEL,125550,CLD
KDOV,COMD POST,134100,POST
KDOV,DEP,32300,DEP
KDOV,GND,118875,GND
KDOV,MILLVILLE RDO,111400,RDO
KDOV,PMSV METRO,34200,PMSV
KDOV,PTD,134100,PTD
KDOV,TWR,126350,TWR
KDPA,ASOS,124800,ASOS
KDPA,ATIS,124800,ATIS
KDPA,CHICAGO APP/DEP,133500,A/D
KDPA,CLNC DEL,119750,CLD
KDPA,GND,121800,GND
KDPA,KANKAKEE RDO,122300,RDO
KDPA,TWR,120900,TWR
KDPA,UNICOM,122950,UNIC
KDPG,CLOVER CON SOUTH,134100,ACC
KDPG,CTAF,126200,CTAF
KDPG,DUGWAY RANGE CON,36100,INFO
KDPG,FIRE STATION,126200,EMR
KDRI,AWOS 3,118225,AWOS
KDRI,CTAF/UNICOM,122800,UNIC
KDRI,DE RIDDER RDO,122200,RDO
KDRI,POLK APP/DEP,123700,A/D
KDRO,ASOS,120625,ASOS
KDRO,CTAF/UNICOM,122800,UNIC
KDRO,DENVER CNTR,118575,CNTR
KDRO,DENVER RDO,122350,RDO
KDRT,APP,119600,APP
KDRT,ASOS,118525,ASOS
KDRT,CLNC DEL,120500,CLD
KDRT,CTAF/UNICOM,122800,UNIC
KDRT,DEP,119600,DEP
KDRT,SAN ANGELO RDO,122300,RDO
KDSM,ANG OPS MAINT,138150,OPS
KDSM,APP/DEP,118600,A/D
KDSM,ATIS,119550,ATIS
KDSM,CLNC DEL,134150,CLD
KDSM,FORT DODGE RDO,122650,RDO
KDSM,GND,121900,GND
KDSM,TWR,118300,TWR
KDSM,UNICOM,122950,UNIC
KDSV,ASOS,118325,ASOS
KDSV,CTAF/UNICOM,123000,UNIC
KDSV,ROCHESTER APP/DEP,123700,A/D
KDTA,AWOS 3,127750,AWOS
KDTA,CEDAR CITY RDO,122550,RDO
KDTA,CTAF/UNICOM,122800,UNIC
KDTL,AWOS 3,111200,AWOS
KDTL,CTAF/UNICOM,122800,UNIC
KDTL,PRINCETON RDO,122500,RDO
KDTN,APP/DEP,119900,A/D
KDTN,ASOS,118525,ASOS
KDTN,CLNC DEL,120750,CLD
KDTN,CTAF,120225,CTAF
KDTN,DE RIDDER RDO,122600,RDO
KDTN,GND,121650,GND
KDTN,TWR,120225,TWR
KDTN,UNICOM,122950,UNIC
KDTW,APP,118575,APP
KDTW,ATIS,133675,ATIS
KDTW,DEP,118575,DEP
KDTW,GND,119250,GND
KDTW,LANSING RDO,115700,RDO
KDTW,METRO TWR,118400,TWR
KDTW,PRE TAXI CLNC,120650,CLD
KDTW,UNICOM,122950,UNIC
KDUA,AWOS 3,124175,AWOS
KDUA,CTAF/UNICOM,122800,UNIC
KDUA,FORT WORTH CNTR,124750,CNTR
KDUG,ASOS,119275,ASOS
KDUG,CTAF/UNICOM,123000,UNIC
KDUG,PRESCOTT RDO,122400,RDO
KDUJ,ALTOONA RDO,122200,RDO
KDUJ,ASOS,119025,ASOS
KDUJ,CLEVELAND CNTR,126720,CNTR
KDUJ,CTAF,123000,CTAF
KDUJ,UNICOM,123000,UNIC
KDVL,AWOS 3,125875,AWOS
KDVL,CTAF/UNICOM,122800,UNIC
KDVL,GRAND FORKS RDO,122300,RDO
KDVN,ARNG OPS,36100,OPS
KDVN,ASOS,120175,ASOS
KDVN,CTAF/UNICOM,123000,UNIC
KDVN,FORT DODGE RDO,122500,RDO
KDVN,QUAD CITY APP/DEP,125950,A/D
KDVN,QUAD CITY CLNC DEL,118350,CLD
KDVT,APP/DEP,120700,A/D
KDVT,ATIS,126500,ATIS
KDVT,CLNC DEL,123900,CLD
KDVT,CTAF,118400,CTAF
KDVT,DEER VALLEY TWR,118400,TWR
KDVT,GND,121800,GND
KDVT,PRESCOTT RDO,122600,RDO
KDVT,UNICOM,122950,UNIC
KDWH,ATIS,124950,ATIS
KDWH,CLNC DEL,119450,CLD
KDWH,CTAF,118400,CTAF
KDWH,GND,121800,GND
KDWH,HOUSTON APP/DEP,119700,A/D
KDWH,TWR,118400,TWR
KDWH,UNICOM,122950,UNIC
KDYS,ABILENE APP/DEP,125000,A/D
KDYS,ACC COMMAND POST,31100,POST
KDYS,AMCC,34940,POST
KDYS,ATIS,38570,ATIS
KDYS,GND,118350,GND
KDYS,PMSV METRO,38325,PMSV
KDYS,PTD,139300,PTD
KDYS,TWR,133000,TWR
KEAN,CTAF,122900,CTAF
KEAR,AWOS 3,123875,AWOS
KEAR,COLUMBUS RDO,122550,RDO
KEAR,CTAF/UNICOM,122800,UNIC
KEAR,MINNEAPOLIS CNTR,119400,CNTR
KEAT,ASOS,119925,ASOS
KEAT,CTAF/UNICOM,123000,UNIC
KEAT,SEATTLE CNTR,126100,CNTR
KEAT,SEATTLE RDO,122600,RDO
KEAU,ASOS,119675,ASOS
KEAU,CTAF/UNICOM,123000,UNIC
KEAU,GREEN BAY RDO,122650,RDO
KEAU,MINNEAPOLIS APP/DEP,125300,A/D
KEBS,AWOS 3,127825,AWOS
KEBS,CTAF/UNICOM,122800,UNIC
KEBS,MINNEAPOLIS CNTR,134000,CNTR
KECG,AIR,34500,A/G
KECG,ASOS,118525,ASOS
KECG,CTAF,120500,CTAF
KECG,GND,121900,GND
KECG,NORFOLK APP/DEP,119550,A/D
KECG,TWR,120500,TWR
KECG,UNICOM,122950,UNIC
KECP,PANAMA CITY GROUND,121650,GND
KECP,PANAMA CITY TOWER,118950,TWR
KECS,AWOS 3,118000,AWOS
KECS,CASPER RDO,122500,RDO
KECS,CTAF/UNICOM,122800,UNIC
KECS,DENVER CNTR,127950,CNTR
KEDE,AWOS 3,121125,AWOS
KEDE,CTAF/UNICOM,123000,UNIC
KEDE,WASHINGTON CNTR,123850,CNTR
KEDG,CTAF,126200,CTAF
KEDG,OPS,126200,OPS
KEDG,POTOMAC APP/DEP,119000,A/D
KEDW,ATIS,26990,ATIS
KEDW,COMD POST,30400,POST
KEDW,GND,121800,GND
KEDW,NASA FLT OPS,135825,MISC
KEDW,PMSV METRO,34240,PMSV
KEDW,PTD,37220,PTD
KEDW,SPORT APP/DEP,132750,A/D
KEDW,TWR,120700,TWR
KEED,ASOS,128325,ASOS
KEED,CTAF/UNICOM,123000,UNIC
KEED,LOS ANGELES CNTR,134650,A/D
KEED,PRESCOTT RDO,115200,RDO
KEEN,AWOS 3,119025,AWOS
KEEN,BANGOR RDO,109400,RDO
KEEN,BOSTON CNTR,123750,CNTR
KEEN,CTAF/UNICOM,123000,UNIC
KEFD,ANG OPS,142200,OPS
KEFD,ARNG OPS,41000,OPS
KEFD,ATIS,135575,ATIS
KEFD,COMD POST,142200,POST
KEFD,GND,121600,GND
KEFD,HOUSTON AIR,38180,MISC
KEFD,HOUSTON APP DEP,134450,A/D
KEFD,TWR,126050,TWR
KEFD,UNICOM,122950,UNIC
KEFK,AWOS 3,118275,AWOS
KEFK,BURLINGTON RDO,122500,RDO
KEFK,CTAF/UNICOM,122800,UNIC
KEFW,CTAF/UNICOM,122800,UNIC
KEFW,MINNEAPOLIS CNTR,134000,CNTR
KEGE,ATIS,135575,ATIS
KEGE,AWOS 3,135575,AWOS
KEGE,CTAF,119800,CTAF
KEGE,DENVER CNTR,128650,CNTR
KEGE,DENVER RDO,122200,RDO
KEGE,EAGLES NEST,41750,MISC
KEGE,GND/CLNC DEL,121800,GCCD
KEGE,TWR,119800,TWR
KEGI,APP,125100,APP
KEGI,APP,37915,APP
KEGI,COMD POST,150600,POST
KEGI,DEP,120900,DEP
KEGI,GND,25112,GND
KEGI,PTD,139300,PTD
KEGI,TWR,133200,TWR
KEGV,AWOS 3,118325,AWOS
KEGV,CTAF/UNICOM,122800,UNIC
KEGV,GREEN BAY RDO,109200,RDO
KEGV,MINNEAPOLIS CNTR,133650,CNTR
KEHO,AWOS 3,118425,AWOS
KEHO,CHARLOTTE APP/DEP,134750,A/D
KEHO,CTAF/UNICOM,122800,UNIC
KEKA,CTAF/UNICOM,122700,UNIC
KEKA,OAKLAND RDO,122350,FSS
KEKA,SEATTLE CNTR,124850,A/D
KEKN,ASOS,119275,ASOS
KEKN,CLARKSBURG APP/DEP,121150,A/D
KEKN,CTAF,123600,CTAF
KEKN,RDO,122200,RDO
KEKO,ASOS,119275,ASOS
KEKO,CTAF,123000,CTAF
KEKO,SALT LAKE CNTR,132250,CNTR
KEKO,UNICOM,123000,UNIC
KEKX,AWOS 3,121025,AWOS
KEKX,CLNC DEL,119450,CLD
KEKX,CTAF/UNICOM,122800,UNIC
KEKX,LOUISVILLE APP/DEP,123675,A/D
KELA,CTAF,122900,CTAF
KELA,HOUSTON CNTR,128600,CNTR
KELD,ASOS,118325,ASOS
KELD,CTAF/UNICOM,123000,UNIC
KELD,FORT WORTH CNTR,126320,A/D
KELD,JONESBORO RDO,122650,RDO
KELK,AWOS 3,118225,AWOS
KELK,CTAF/UNICOM,122800,UNIC
KELK,FORT WORTH CNTR,128400,A/D
KELM,APP/DEP,119450,A/D
KELM,ATIS,125475,ATIS
KELM,BUFFALO RDO,122200,RDO
KELM,CLNC DEL,121900,CLD
KELM,CTAF,122400,CTAF
KELM,GND/CLNC DEL,121900,GND
KELM,TWR,121100,TWR
KELM,UNICOM,122950,UNIC
KELN,ASOS,118375,ASOS
KELN,CTAF/UNICOM,123000,UNIC
KELN,SEATTLE CNTR,132600,CNTR
KELN,SEATTLE RDO,122200,RDO
KELO,AWOS 3,132025,AWOS
KELO,CTAF/UNICOM,122800,UNIC
KELO,PRINCETON RDO,109600,RDO
KELP,ALBUQUERQUE RDO,122400,RDO
KELP,APP,119150,APP
KELP,ATIS,120000,ATIS
KELP,CLNC DEL,125000,CLD
KELP,DEP,119150,DEP
KELP,GND,121900,GND
KELP,TWR,118300,TWR
KELP,UNICOM,122950,UNIC
KELY,ASOS,120625,ASOS
KELY,CTAF/UNICOM,122800,UNIC
KELY,SALT LAKE CNTR,133450,CNTR
KELZ,ASOS,119275,ASOS
KELZ,BUFFALO RDO,111400,RDO
KELZ,CLEVELAND CNTR,124325,CNTR
KELZ,CTAF/UNICOM,123000,UNIC
KEMM,AWOS 3,119675,AWOS
KEMM,CTAF/UNICOM,122800,UNIC
KEMM,SALT LAKE CNTR,124350,CNTR
KEMP,ASOS,124675,ASOS
KEMP,CTAF/UNICOM,122800,UNIC
KEMP,KANSAS CITY CNTR,127725,A/D
KEMP,WICHITA RDO,122300,RDO
KEMT,ATIS,118750,ATIS
KEMT,CTAF,121200,CTAF
KEMT,GND,125900,GND
KEMT,SOCAL APP/DEP,125500,A/D
KEMT,TWR,121200,TWR
KEMT,UNICOM,122950,UNIC
