"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"151632","RA-71218","Antonov","An-2R","AN2","1G201-01","L1P",NULL,NULL,NULL,NULL
"151645","RA-71237","Antonov","An-2R","AN2","1G207-08","L1P",NULL,NULL,NULL,NULL
"151646","RA-71238","Antonov","An-2R","AN2","1G207-09","L1P",NULL,NULL,NULL,NULL
"151657","RA-71255","Antonov","An-2R","AN2","1G207-26","L1P",NULL,NULL,NULL,NULL
"151665","RA-71269","Antonov","An-2R","AN2","1G207-40","L1P",NULL,NULL,NULL,NULL
"15166c","RA-71276","Antonov","An-2R","AN2","1G207-47","L1P",NULL,NULL,NULL,NULL
"15166e","RA-71278","Antonov","An-2R","AN2","1G207-49","L1P",NULL,NULL,NULL,NULL
"151670","RA-71280","Antonov","An-2R","AN2","1G207-51","L1P",NULL,NULL,NULL,NULL
"15167c","RA-71292","Antonov","An-2R","AN2","1G201-20","L1P",NULL,NULL,NULL,NULL
"15167f","RA-71295","Antonov","An-2R","AN2","1G201-35","L1P",NULL,NULL,NULL,NULL
"151686","RA-71302","Antonov","An-2R","AN2","1G201-30","L1P",NULL,NULL,NULL,NULL
"151cca","RF-72906","Antonov","An-72","AN72","36572030447","L2J",NULL,NULL,NULL,NULL
"151ccb","RF-72907","Antonov","An-72","AN72","36572020375","L2J",NULL,NULL,NULL,NULL
"151ccc","RF-72018","Antonov","An-72P","AN72","36576094880","L2J",NULL,NULL,NULL,NULL
"151ccd","RF-72010","Antonov","An-72","AN72","36572040550","L2J",NULL,NULL,NULL,NULL
"151cd2","RF-72029","Antonov","An-72","AN72","36572030479","L2J",NULL,NULL,NULL,NULL
"151cd3","RA-72915","Antonov","An-72","AN72","36572040520","L2J",NULL,NULL,NULL,NULL
"151cd4","RA-72916","Antonov","An-72","AN72","36572040525","L2J",NULL,NULL,NULL,NULL
"151cd5","RF-72917","Antonov","An-72","AN72","36572040530","L2J",NULL,NULL,NULL,NULL
"151cd7","RF-72919","Antonov","An-72","AN72","36572040565","L2J",NULL,NULL,NULL,NULL
"151cd8","RF-72920","Antonov","An-72","AN72","36572040570","L2J",NULL,NULL,NULL,NULL
"151cda","RF-72922","Antonov","An-72","AN72","36572040560","L2J",NULL,NULL,NULL,NULL
"151cdb","RF-72923","Antonov","An-72","AN72","36572060590","L2J",NULL,NULL,NULL,NULL
"151cdc","RF-72924","Antonov","An-72","AN72","36572060600","L2J",NULL,NULL,NULL,NULL
"151cdd","RA-72925","Antonov","An-72","AN72","36572040563","L2J",NULL,NULL,NULL,NULL
