icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a7e115,N60683,MD Helicopters,MD 600N,MD60,RN083,H1T,,,2023-09-30,2016-01-01
a7e124,N6069H,MD Helicopters,MD 530F,H500,0269FF,H1T,,,,
a7e12e,N6069T,MD Helicopters,MD 530F,H500,0267FF,H1T,,,,2017-01-01
a7e3ce,N6071U,MD Helicopters,MD 530F,H500,0271FF,H1T,,,,2017-01-01
a7e3e4,N6072F,MD Helicopters,MD 530F,H500,0272FF,H1T,,,,2017-01-01
a7e418,N6073Y,MD Helicopters,MD 530F,H500,0273FF,H1T,,,,2017-01-01
a7e45a,N6075U,MD Helicopters,MD 530F,H500,0275FF,H1T,,,,
a7e485,N60762,MD Helicopters,MD 530F,H500,0276FF,H1T,,,,
a7e4a1,N6077V,MD Helicopters,MD 530F,H500,0277FF,H1T,,,,
a7e897,N6089N,MD Helicopters,MD 530F,H500,0278FF,H1T,,,,
a7eb0f,N6090J,MD Helicopters,MD 530F,H500,0280FF,H1T,,,,
a7eb64,N6092Z,MD Helicopters,MD 530F,H500,0279FF,H1T,,,,
a80e0d,N618SG,MD Helicopters,MD 500E,H500,0014E,H1T,,,,
a80fb3,N6186U,Hughes,OH-6A Cayuse,H500,1418,H1T,AGR,,,
a80fb7,N6186Y,Hughes,OH-6A Cayuse,H500,69-15990,H1T,,,2021-10-31,
a80fbe,N61865,Hughes,OH-6A Cayuse,H500,1357,H1T,,,,
a80fc4,N6187A,Hughes,OH-6A Cayuse,H500,69-16035,H1T,,,2022-01-31,
a80fc7,N6187D,Hughes,OH-6A Cayuse,H500,68-17280,H1T,,,2022-01-31,
a80fe9,N6188C,Hughes,OH-6A Cayuse,H500,1350,H1T,,,,
a80fea,N6188D,Hughes,OH-6A Cayuse,H500,1416,H1T,,,,
a80fee,N6188H,Hughes,OH-6A Cayuse,H500,68-17144,H1T,,,2023-08-31,
a81ef2,N622PB,MD Helicopters,MD 500D,H500,880318D,H1T,,,2024-02-29,1978-01-01
a82858,N6246W,Hughes,OH-6A Cayuse,H500,88-0712,H1T,,,,
a828c2,N6249X,Hughes,OH-6A Cayuse,H500,0743,H1T,,,,
a82b74,N6252F,Hughes,OH-6A Cayuse,H500,980735,H1T,,,2024-01-31,1968-01-01
a82b7f,N6252S,Hughes,OH-6A Cayuse,H500,0502,H1T,,,,
a82b8f,N62528,Hughes,OH-6A Cayuse,H500,1016,H1T,,,,
a82bcb,N6254Y,Hughes,OH-6A Cayuse,H500,0723,H1T,,,,
a82bed,N6255X,Hughes,OH-6A Cayuse,H500,78-0622,H1T,,,,
a82c3b,N62575,Hughes,OH-6A Cayuse,H500,0497,H1T,,,,
a82dd2,N626PF,Hughes,OH-6A Cayuse,H500,48-0426,H1T,,,,
a82f46,N62628,Hughes,OH-6A Cayuse,H500,391119,H1T,,,2022-04-30,
a8387e,N629JK,MD Helicopters,MD 500E,H500,0542E,H1T,,,,
a83ac1,N6295P,Kawasaki,369 HS,H500,52-0378S,H1T,,,,
a83dc3,N630AG,MD Helicopters,MD 600N,MD60,RN015,H1T,,,2022-10-31,1997-01-01
a83ee8,N630N,MD Helicopters,MD 530F,H500,0004F,H1T,,,2023-04-30,1984-01-01
a847c0,N63212,MD Helicopters,MD 500E,H500,0127E,H1T,,,,
a849b1,N633JH,MD Helicopters,MD 500E,H500,0230E,H1T,,,,
a8566f,N6360S,Hughes,OH-6A Cayuse,H500,69-1215,H1T,,,,
a85706,N63643,Kawasaki,369 HS,H500,52-0384S,H1T,,,,
a8632f,N64DB,MD Helicopters,MD 500D,H500,117-0231D,H1T,,,,
a8646a,N64RS,MD Helicopters,MD 500E,H500,0320E,H1T,,,2023-08-31,1989-01-01
a869ee,N641LB,MD Helicopters,MD 600N,MD60,RN041,H1T,,,2022-12-31,1998-01-01
a886ed,N649CS,Hughes,OH-6A Cayuse,H500,1034,H1T,,,,
a88bff,N65SP,Hughes,OH-6A Cayuse,H500,1280964,H1T,,,2023-11-30,
a88cc1,N650AG,MD Helicopters,MD 500M Defender,H500,1090203M,H1T,,,2022-05-31,1971-01-01
a8ab45,N658JL,Hughes,OH-6A Cayuse,H500,691194,H1T,,,2022-07-31,1969-01-01
a8b374,N66SD,MD Helicopters,MD 500E,H500,0147E,H1T,,,2022-10-31,1985-01-01
a8c026,N663J,MD Helicopters,MD 520N,MD52,LN063,H1T,,,,
a8c21f,N6633,Hughes,OH-6A Cayuse,H500,1018,H1T,,,,
a8c274,N6635Q,MD Helicopters,MD 500C,H500,440589S,H1T,,,2023-10-31,
a8c2dc,N6638P,Hughes,OH-6A Cayuse,H500,67-16333,H1T,,,2023-06-30,
a8c301,N6639R,Hughes,OH-6A Cayuse,H500,66-07874,H1T,,,2023-06-30,
a8c577,N6640K,Hughes,OH-6A Cayuse,H500,66-16110,H1T,,,2023-08-31,
a8c585,N6640Z,Hughes,OH-6A Cayuse,H500,66-16076,H1T,,,2023-06-30,
a8c594,N6641D,Hughes,OH-6A Cayuse,H500,0169,H1T,AGR,,,
a8c896,N665UH,Hughes,OH-6A Cayuse,H500,0665,H1T,,,,
a8d304,N668M,MD Helicopters,MD 500C,H500,310312S,H1T,,,2022-08-31,1971-01-01
a8d986,N67BP,Hughes,OH-6A Cayuse,H500,0071,H1T,AGR,,,
a8d9e2,N67FF,MD Helicopters,MD 530F,H500,0067FF,H1T,,,2021-08-31,1989-01-01
a8da14,N67HF,MD Helicopters,MD 500D,H500,1280403D,H1T,,,2023-06-30,1978-01-01
a8da61,N67LH,MD Helicopters,MD 500C,H500,630484,H1T,,,2023-09-30,1973-01-01
a8daa6,N67PB,Hughes,OH-6A Cayuse,H500,480411,H1T,,,2021-07-31,1968-01-01
a8f741,N677RS,MD Helicopters,MD 500C,H500,520383S,H1T,,,2023-10-31,1972-01-01
a929a8,N69PF,MD Helicopters,MD 500D,H500,1060012D,H1T,,,2023-09-30,
a92bff,N690PD,MD Helicopters,MD 500E,H500,0613E,H1T,,,2021-09-30,2012-01-01
a92fb6,N691PD,MD Helicopters,MD 500E,H500,0611E,H1T,,,2021-10-31,2012-01-01
a9336d,N692PD,MD Helicopters,MD 500E,H500,0612E,H1T,,,2021-09-30,2012-01-01
a944ab,N6969Z,MD Helicopters,MD 500C,H500,410316S,H1T,,,2023-04-30,
a95116,N7NP,MD Helicopters,MD 500E,H500,0260E,H1T,,,2023-08-31,
a951aa,N7UM,MD Helicopters,MD 500C,H500,850767S,H1T,,,2023-02-28,1975-01-01
a96254,N7032C,MD Helicopters,MD 530F,H500,0141FF,H1T,BOE,,2023-03-31,2000-01-01
a96265,N7032V,MD Helicopters,MD 500E,H500,0553E,H1T,,,2022-04-30,2000-01-01
a96810,N705KP,MD Helicopters,MD 500E,H500,0530E,H1T,,,2022-09-30,1996-01-01
a96842,N705MP,MD Helicopters,MD 500E,H500,0405E,H1T,,,2023-04-30,1990-01-01
a969b7,N70512,MD Helicopters,MD 500N,MD52,LN092,H1T,,,2024-01-31,2000-01-01
a96ac0,N7059M,MD Helicopters,MD 500C,H500,240563S,H1T,,,2022-02-28,
a96bf9,N706MP,MD Helicopters,MD 500E,H500,0407E,H1T,,,2022-04-30,1990-01-01
a9722c,N7079K,MD Helicopters,MD 500D,H500,610988D,H1T,,,2023-04-30,1981-01-01
a98e71,N7148Z,MD Helicopters,MD 500D,H500,57-0136D,H1T,,,,
a991c2,N71552,MD Helicopters,MD 500C,H500,120365S,H1T,,,2022-01-31,1972-01-01
a995cd,N7168F,MD Helicopters,MD 500D,H500,570131D,H1T,,,2024-03-31,1977-01-01
