"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"a25b6c","N251CE","Douglas","C-118A Liftmaster","DC6","44612","L4P",NULL,NULL,"2021-04-30","1953-01-01"
"a25d34","N251WL","Douglas","TA-4J Skyhawk","A4","13566","L1J",NULL,NULL,NULL,NULL
"a260eb","N252WL","Douglas","TA-4J Skyhawk","A4","13610","L1J",NULL,NULL,NULL,NULL
"a270c6","N25641","Douglas","DC-3C","DC3","9059","L2P",NULL,NULL,"2021-07-31","1943-01-01"
"a270cd","N25648","Douglas","DC-3","DC3","2236","L2P",NULL,NULL,NULL,NULL
"a27131","N25673","Douglas","DC-3A","DC3","2213","L2P",NULL,NULL,"2023-01-31","1940-01-01"
"a27cc7","N26BK","Douglas","A-26B Invader","B26","28045","L2P",NULL,NULL,"2021-10-31","1944-01-01"
"a27ccb","N26BP","Douglas","B-26C Invader","B26","7072","L2P",NULL,NULL,NULL,NULL
"a27db8","N26MA","Douglas","DC-3","DC3","2169","L2P",NULL,NULL,"2023-05-31","1939-01-01"
"a27df2","N26PJ","Douglas","A-26C Invader","B26","28987","L2P",NULL,NULL,"2022-10-31","1944-01-01"
"a27e29","N26RP","Douglas","A-26B Invader","B26","6874","L2P",NULL,NULL,"2021-12-31","1956-01-01"
"a27e8e","N26VQ","Douglas","A-26B Invader","B26","41-39486","L2P",NULL,NULL,"2021-06-30","1941-01-01"
"a2a30a","N2692","Douglas","AD-4N Skyraider","A1","126924","L1P",NULL,NULL,"2022-05-31",NULL
"a2abc8","N271SE","Douglas","DC-3C","DC3","15676","L2P",NULL,NULL,"2021-07-31","1945-01-01"
"a2af61","N272R","Douglas","DC-3C","DC3","13678","L2P",NULL,NULL,"2023-04-30","1944-01-01"
"a2b041","N272ZZ","Douglas","DC-3","DC3","25509","L2P",NULL,NULL,"2023-03-31","1943-01-01"
"a2cba3","N28AA","Douglas","DC-3A","DC3","2239","L2P",NULL,NULL,"2023-05-31","1940-01-01"
"a2cd58","N28TN","Douglas","R4D-8 Super Skytrain","DC3S","43354","L2P","","","2022-12-31","1952-01-01"
"a2d10b","N2805J","Douglas","AC-47D Spooky","DC3","20835","L2P",NULL,NULL,"2021-06-30","1944-01-01"
"a2f4d7","N29TN","Douglas","R4D-8 Super Skytrain","DC3S","43302","L2P","","","2021-06-30","1952-01-01"
"a31aba","N3BA","Douglas","C-47A Skytrain","DC3","12172","L2P",NULL,NULL,NULL,NULL
"a31eaf","N30TN","Douglas","C-117D Skytrooper","DC3S","43159","L2P","","","2023-05-31",""
"a31f71","N300BF","Basler","BT-67","DC3T","26744","L2T",NULL,NULL,"2023-01-31","1943-01-01"
"a3206b","N300MF","Douglas","C-47TP Turbo-Dakota","DC3T","27085","L2T",NULL,NULL,"2021-07-31",NULL
"a3227c","N3006","Douglas","DC-3","DC3","42961","L2P",NULL,NULL,"2021-06-30","1946-01-01"
"a334dd","N3054V","Douglas","C-54D Skymaster","DC4","10547","L4P",NULL,NULL,"2023-06-30",NULL
"a36dad","N32TN","Douglas","C-117D Skytrooper","DC3S","43301","L2P","","","",""
"a3786e","N3222T","Douglas","A-26B Invader","B26","44-34722R","L2P",NULL,NULL,"2022-04-30","1944-01-01"
"a3aeae","N33611","Douglas","DC-3C","DC3","34378","L2P",NULL,NULL,"2023-02-28","1945-01-01"
"a3af1a","N33644","Douglas","DC-3","DC3","4123","L2P","WAL",NULL,"2022-05-31","1941-01-01"
"a3c105","N341A","Douglas","DC-3","DC3","2145","L2P",NULL,NULL,"2022-03-31","1939-01-01"
"a3cfe3","N345AB","Douglas","C-47A Skytrain","DC3","13803","L2P",NULL,NULL,"2023-07-31","1943-01-01"
"a3e8bb","N351CE","Douglas","C-118A Liftmaster","DC6","44599","L4P",NULL,NULL,"2023-10-31","1954-01-01"
"a44e21","N377DK","Douglas","C-47B Skytrain","DC3","26877","L2P",NULL,NULL,NULL,NULL
"a48984","N39147","Douglas","EA-1E Skyraider","A1","132683","L1P",NULL,NULL,"2022-01-31","1952-01-01"
"a489c8","N39165","Douglas","DC-2","DC2","1404","L2P",NULL,NULL,"2021-12-31","1935-01-01"
"a49b8a","N39606","Douglas","AD-6 Skyraider","A1","139606","L1P",NULL,NULL,"2022-07-31","1955-01-01"
"a4b22b","N401US","Douglas","DC-7","DC7","45145","L4P",NULL,NULL,"2021-12-31","1957-01-01"
"a4b890","N403JB","Douglas","DC-3C","DC3","34202","L2P",NULL,NULL,"2023-07-31","1945-01-01"
"a4d208","N41CQ","Douglas","C-47B Skytrain","DC3","33445","L2P",NULL,NULL,"2022-05-31",NULL
"a4d285","N41HQ","Douglas","DC-3A","DC3","2053","L2P",NULL,NULL,NULL,NULL
"a522e8","N43XX","Douglas","C-53D Skytrooper","DC3","11665","L2P",NULL,NULL,"2023-10-31","1943-01-01"
"a52790","N431HM","Douglas","DC-3","DC3","9995","L2P",NULL,NULL,"2023-08-31",NULL
"a53db7","N437GB","Douglas","DC-3C","DC3","19999","L2P",NULL,NULL,NULL,NULL
"a559b0","N444CE","Douglas","DC-6B","DC6","45478","L4P",NULL,NULL,"2023-04-30","1958-01-01"
"a560c0","N44587","Douglas","DC-3C","DC3","12857","L2P",NULL,NULL,"2023-07-31","1944-01-01"
"a5760a","N451CE","Douglas","C-118B Liftmaster","DC6","43712","L4P",NULL,NULL,NULL,NULL
"a5808a","N45366","Douglas","C-53D Skytrooper","DC3","11757","L2P",NULL,NULL,"2022-04-30","1943-01-01"
"a59b90","N460WA","Douglas","C-54E Skymaster","DC4","44-9133","L4P",NULL,NULL,"2022-07-31",NULL
"a5b48e","N467KS","Douglas","DC-3C-TP","DC3T","20175","L2T","PRY",NULL,"2023-03-31","1942-01-01"
"a5b53a","N467SP","Douglas","DC-3C-TP","DC3T","32948","L2T",NULL,NULL,"2024-01-31","1945-01-01"
"a5bf7b","N47HL","Douglas","DC-3","DC3","27203","L2P",NULL,NULL,NULL,NULL
"a5c88e","N472AF","Douglas","DC-3C","DC3","13485","L2P",NULL,NULL,"2023-05-31","1944-01-01"
"a5cc8d","N473DC","Douglas","C-47A Skytrain","DC3","19345","L2P",NULL,NULL,NULL,NULL
"a5ebeb","N4807E","Douglas","A-26B Invader","B26","27976","L2P",NULL,NULL,NULL,NULL
"a5ef5c","N4815E","Douglas","RB-26C Invader","B26","28784","L2P",NULL,NULL,NULL,NULL
"a5efc5","N4818E","Douglas","A-26C Invader","B26","28650","L2P",NULL,NULL,NULL,NULL
"a601d0","N4864J","Douglas","SBD-4 Dauntless","SBD","10518","L1P",NULL,NULL,"2021-04-30",NULL
"a60dc6","N49AG","Douglas","DC-3A","DC3","11737","L2P",NULL,NULL,NULL,NULL
"a60fbb","N49WH","Douglas","A-4B Skyhawk","A4","11366","L1J",NULL,NULL,"2022-04-30","1957-01-01"
"a62648","N4959K","Douglas","A-26C Invader","B26","44-34749","L2P",NULL,NULL,"2021-12-31",NULL
"a63a5d","N500EJ","Douglas","C-54E Skymaster","DC4","27370","L4P",NULL,NULL,"2022-04-30","1945-01-01"
