icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
aab2dd,N789KG,Cessna,560XL Citation Excel,C56X,560-5538,L2J,,,2023-06-30,2005-01-01
aab30b,N789MC,Cessna,T310Q Turbo,C310,310Q-0914,L2P,,,,
aab30c,N789MD,Cessna,340A,C340,340A-1021,L2P,,,2024-01-31,1980-01-01
aab3af,N789TS,Cessna,510 Citation Mustang,C510,510-0395,L2J,,,2022-12-31,2012-01-01
aab3b0,N789TT,Cessna,550 Citation II,C550,550-0343,L2J,,,2023-10-31,1982-01-01
aab50b,N7895Q,Cessna,525 CitationJet CJ1,C525,525-0405,L2J,,,2024-03-31,2000-01-01
aab5b5,N79AJ,Cessna,525 CitationJet CJ1,C525,525-0321,L2J,,,2022-11-30,1999-01-01
aab667,N79HM,Cessna,525C CitationJet CJ4,C25C,525C-0079,L2J,,,,
aab685,N79JS,Cessna,525C CitationJet CJ4,C25C,525C-0138,L2J,,,2022-11-30,2013-01-01
aab6d5,N79MX,Cessna,525 CitationJet CJ1,C525,525-0190,L2J,,,2023-08-31,1997-01-01
aab734,N79RS,Cessna,500 Citation I,C500,500-0107,L2J,,,2022-09-30,
aab78f,N79VH,Cessna,208 Caravan,C208,208-0570,L1T,,,2022-07-31,2015-01-01
aab810,N790AL,Cessna,550 Citation S/II,C550,S550-0024,L2J,,,2023-01-31,1985-01-01
aab887,N790FE,Cessna,208B Grand Caravan,C208,208B-0288,L1T,,,2022-05-31,1991-01-01
aab9c4,N790TX,Cessna,560XL Citation Excel,C56X,560-5790,L2J,EJM,,2021-08-31,2008-01-01
aaba4e,N790ZK,Cessna,560XL Citation XLS+,C56X,560-6111,L2J,,,,
aabc8a,N791JF,Cessna,501 Citation I/SP,C501,501-0079,L2J,,,2022-09-30,1978-01-01
aabc8e,N791JK,Cessna,525A CitationJet CJ2,C25A,525A-0152,L2J,,,2024-02-29,2003-01-01
aabc92,N791JP,Cessna,680 Citation Sovereign,C680,680-0175,L2J,,,,
aabfa7,N792CB,Cessna,525A CitationJet CJ2+,C25A,525A-0461,L2J,,,,
aabff5,N792FE,Cessna,208B Grand Caravan,C208,208B-0290,L1T,FDX,,2022-09-30,1991-01-01
aac32b,N793AA,Cessna,501 Citation I/SP,C501,501-0106,L2J,,,2023-01-31,1979-01-01
aac346,N793BC,Cessna,560 Citation V,C560,560-0758,L2J,,,2022-04-30,2007-01-01
aac365,N793CJ,Cessna,525 CitationJet CJ1,C525,525-0021,L2J,,,2023-12-31,2000-01-01
aac763,N794FE,Cessna,208B Grand Caravan,C208,208B-0292,L1T,FDX,,2022-11-30,1991-01-01
aac82c,N794PF,Cessna,525 CitationJet CJ1,C525,525-0649,L2J,,,2021-07-31,2007-01-01
aac88b,N794TA,Cessna,208B Grand Caravan EX,C208,208B-5362,L1T,,,,
aacb1a,N795FE,Cessna,208B Grand Caravan,C208,208B-0293,L1T,FDX,,2022-11-30,1991-01-01
aacb4a,N795HC,Cessna,525C CitationJet CJ4,C25C,525C-0074,L2J,,,2023-11-30,2012-01-01
aacb6a,N795JK,Cessna,550 Citation II,C550,550-0027,L2J,,,,
aacc41,N795T,Cessna,510 Citation Mustang,C510,510-0357,L2J,,,2023-02-28,2010-01-01
aaced1,N796FE,Cessna,208B Grand Caravan,C208,208B-0212,L1T,,,2022-02-28,1990-01-01
aacf63,N796MA,Cessna,550B Citation Bravo,C55B,550-0941,L2J,,,2021-07-31,2000-01-01
aad23b,N797CC,Cessna,650 Citation VII,C650,650-7097,L2J,,,2022-06-30,1999-01-01
