"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"68302e","UP-T3407","Tupolev","Tu-134A-3","T134","49912","L2J",NULL,NULL,NULL,NULL
"683030","UP-T3405","Tupolev","Tu-134A-3","T134","31218","L2J",NULL,NULL,NULL,NULL
"683050","UN-65120","Tupolev","Tu-134Sh","T134","93551025","L2J",NULL,NULL,NULL,NULL
"683066","UP-T3409","Tupolev","Tu-134B-3","T134","62820","L2J","EAK",NULL,NULL,NULL
"68306a","UP-T5401","Tupolev","Tu-154M","T154","91A889","L3J",NULL,NULL,NULL,NULL
"6831cd","UN-65683","Tupolev","Tu-134A","T134","62199","L2J",NULL,NULL,NULL,NULL
"727761","P-561","Tupolev","Tu-154B-2","T154","83A573","L3J","KOR",NULL,NULL,NULL
"7277a8","P-632","Tupolev","Tu-204-300","T204","1450742364012","L2J","KOR",NULL,NULL,NULL
"7277a9","P-633","Tupolev","Tu-204-100V","T204","1450741964048","L2J","KOR",NULL,NULL,NULL
"72785d","P-813","Tupolev","Tu-134B-3","T134","66215","L2J","KOR",NULL,NULL,NULL
"778721","YK-AYA","Tupolev","Tu-134B-3","T134","63992","L2J",NULL,NULL,NULL,NULL
"778722","YK-AYB","Tupolev","Tu-134B-3","T134","63994","L2J",NULL,NULL,NULL,NULL
"778725","YK-AYE","Tupolev","Tu-134B-3","T134","66187","L2J",NULL,NULL,NULL,NULL
"778726","YK-AYF","Tupolev","Tu-134B-3","T134","66190","L2J",NULL,NULL,NULL,NULL
